geo,B051,B052,B081,B089,C101,C103,C104,C105,C106,C107,C108,C110,C131,C132,C133,C139,C141,C151,C152,C161,C162,C171,C172,C181,C182,C191,C201,C202,C203,C204,C205,C206,C211,C212,C221,C222,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C243,C244,C245,C251,C252,C253,C254,C255,C256,C257,C259,C261,C262,C263,C264,C265,C266,C271,C272,C273,C274,C275,C279,C281,C282,C283,C284,C289,C291,C292,C293,C301,C303,C309,C310,C321,C322,C323,C324,C325,C329,C331,C332,D351,D352,D353,E360,E370,E381,E382,E383,E390,F411,F412,F421,F422,F429,F431,F432,F433,F439,G451,G452,G453,G454,G461,G462,G463,G464,G465,G466,G467,G469,G471,G472,G473,G474,G475,G476,G477,G478,G479,H492,H493,H494,H501,H502,H521,H522,I551,I559,I561,I562,I563,J581,J582,J591,J592,J601,J602,J611,J619,J620,J631,J639,L681,L682,L683,M691,M692,M701,M702,M711,M712,M721,M722,M731,M732,M742,M749,M750,N772,N773,N781,N782,N783,N791,N799,N801,N811,N812,N813,N821,N822,N823,N829,S951,S952,B061,B062,B071,C102,C109,C142,C143,I552,I553,M741,M743,N771,N802,N803,C120,C267,C302,C304,H504,H511,H512,N774,B091,C192,H491,H495,H503,H531,H532,J612,J613,B072,B099,C268
AT,0,0,4192,645,17299,3590,639,4900,2330,30751,7331,9122,1010,2206,908,5076,6513,2352,1439,10925,22715,7241,9533,12732,1446,0,6515,295,2968,2634,2478,2257,3484,7691,2279,25199,9644,1416,965,1480,1442,11223,3305,3040,14459,3156,2624,6417,6324,22615,3182,330,989,6061,11755,17508,7324,7689,890,1905,1116,5006,1964,24700,469,3277,3851,4533,6828,13403,22274,5812,5325,24346,13444,3570,11972,190,682,1760,30148,1753,871,3363,2060,8659,1578,12358,11022,22729,3003,2953,2381,2604,8760,2236,1993,107,2837,56184,20719,13697,1536,9095,78296,56248,35662,36964,26612,12089,1989,15369,16279,26969,43806,8428,34844,45638,4217,99518,22871,11641,11541,55001,20723,112482,1843,7674,8849,53397,57289,0,0,1377,48089,96552,1540,136877,10620,11449,9793,1762,5695,1028,445,4519,2387,811,37298,14648,1337,1743,25780,17047,23688,33317,21570,24086,52116,5346,7862,563,23713,1611,3452,3955,4550,3653,4917,1571,67444,0,9897,1285,11620,9653,55571,5928,2451,4355,2112,6192,1163,3101,0,0,0,125,1936,103,1308,6153,987,2183,1453,2307,69,579,0,915,0,0,154,8258,31,622,27,1207,3624,405,363,0,0,13602,21,0,18,0
BE,0,0,2793,94,14246,7794,1959,7513,3041,30596,16145,9736,1431,4452,1469,15141,4556,989,266,1762,10386,3321,9057,18816,136,0,25439,1268,4131,5667,6064,1288,533,22082,2537,21941,8920,765,890,425,2365,12375,3223,1798,15351,1146,3669,7556,2731,23128,3267,4673,1709,2521,17702,2789,6302,3992,1150,4846,0,2773,421,6748,1277,2892,5372,1590,2548,8329,12402,4074,1368,10901,18955,4978,11032,93,4970,382,14588,1858,164,104,631,4521,1215,8374,1728,17312,1264,40,8046,2134,4746,6818,4306,742,9320,72369,17356,8867,4734,12112,71675,65099,42784,45277,21201,12681,1770,15500,7467,36605,63518,16075,39305,52475,6312,96566,32962,5151,9848,44381,17016,102921,5007,4123,1105,18045,62079,269,1103,10574,80459,17146,104,98820,21541,26786,10876,603,6781,1208,575,1766,21127,5333,65083,2063,1589,3393,27028,20793,21370,28570,19448,52465,44388,7833,9839,298,16567,5818,3462,4748,4935,3765,6410,21623,124380,16363,8162,1045,13921,2009,57978,18508,6460,5063,3782,7913,2023,3156,0,0,0,788,3484,75,355,3817,825,3184,3509,3308,2494,186,1524,236,766,0,589,4333,1199,405,10,4091,35537,65,199,0,0,3874,63,0,86,8
BG,190,13111,4094,429,18485,7980,2619,9726,2815,31328,11462,15323,4174,2125,507,5643,96816,1973,15259,5738,10043,1250,7902,9520,106,0,3949,231,1597,4554,2915,547,12,5726,2903,20869,4034,467,2474,3098,2238,7324,1811,2871,2769,945,284,5088,4205,13317,1416,130,13461,515,10362,2900,11611,2805,389,1205,322,2396,125,6440,1399,4912,909,3282,1562,9020,10656,1054,2364,6195,0,408,9756,831,16,1052,22425,948,177,1329,1426,2273,2037,15849,1251,28965,1126,4100,17589,309,11658,1553,2418,445,1192,68379,21216,9941,11274,3353,19022,14267,12856,10050,17154,19033,388,5654,7676,47478,31906,6893,12221,45825,12454,113226,25491,16501,12359,32456,12157,88252,6253,4562,4129,35915,44369,80,569,964,32823,34965,1265,55178,6490,39522,7015,935,2792,459,641,3540,10186,1672,26178,3789,1985,4660,21455,9375,2864,22590,760,9333,20428,3169,1593,88,10428,1914,1554,11546,1019,205,1724,1006,1522,3427,5758,505,50583,748,8683,2197,1361,2212,717,4332,1359,4511,0,37,0,1470,1718,121,9093,629,69,990,1747,1799,7389,153,4647,1101,2275,0,1058,2143,411,56,14,2357,8229,0,0,0,0,6976,0,6388,149,24
CH,0,0,3853,329,11324,699,614,11011,1404,11812,16895,8155,892,1593,1151,5449,4278,993,782,3434,33026,2014,9363,25710,206,0,10101,1299,4471,5530,8781,571,7557,30283,1325,22931,4795,112,924,1030,1103,6631,1963,2000,1277,2612,1326,4355,5428,13425,2800,0,2501,3665,39826,13693,9683,26380,1875,4468,67,56941,13685,14715,645,6392,2884,4836,8833,14768,28341,1869,12971,26283,2136,1337,1773,394,5896,937,12955,2928,249,244,941,10457,5292,10728,2997,26166,922,9,1114,2426,2193,1988,4709,81,551,77263,21292,2735,1723,3748,86631,55276,48465,4370,62581,10401,3538,576,6678,26688,54617,14780,31196,53645,6620,132003,30438,8892,16425,35611,19017,87261,281,3879,6442,41770,29583,371,568,4320,30371,71932,0,113547,21473,5746,14748,203,4792,663,902,6408,20118,714,57340,4404,1747,1504,2420,19094,16090,39117,17084,25776,85286,3177,14697,1183,17206,4293,1134,2823,4001,1708,2512,9481,2347,64,10011,3811,15202,11341,56530,17943,2243,2840,4403,5642,935,1651,28,0,0,142,2169,10,447,2639,1505,4546,1065,1004,1397,41,2918,5405,3173,0,442,11088,773,545,67,924,29202,54,1156,32941,15499,1447,212,0,0,0
CY,0,0,0,0,1323,757,0,1563,298,6019,734,1885,0,0,51,452,736,28,66,26,3077,0,667,0,0,0,0,78,307,323,0,0,0,1122,12,1287,285,20,190,43,286,1608,748,69,0,48,0,267,0,3141,40,0,26,0,270,111,643,0,0,0,0,0,0,221,0,0,90,262,0,0,424,59,0,110,0,97,117,38,0,0,1431,389,5,0,9,200,150,480,81,2470,0,0,404,413,258,71,311,0,2236,15453,1748,269,509,1595,6964,2837,4231,2167,4178,1214,222,1420,405,5925,5656,997,1674,3648,804,13241,2081,1228,1694,6474,1778,10367,53,838,0,3596,2807,3218,67,144,8466,16337,0,16475,1196,5619,1090,273,300,35,340,998,2908,879,1938,149,140,150,311,1336,3320,6986,540,2818,3263,525,0,0,1045,576,406,273,165,207,260,208,757,886,2125,149,1080,13,1207,225,252,16,139,375,198,372,0,0,0,0,339,0,31,506,31,262,75,731,0,14,0,0,0,0,0,1224,0,0,0,38,0,0,0,708,578,213,18,0,0,0
CZ,0,0,5857,521,24263,3134,936,9684,3167,37614,16978,15965,2289,6358,1054,16406,23638,3465,3321,10260,50924,4045,15478,21344,2554,0,14977,859,2698,4987,4512,938,1371,8572,18764,60365,20465,3048,3574,5855,1986,14347,2768,3460,19979,3949,3758,3385,13978,28213,9537,3176,3372,8118,39700,42442,28955,8710,6338,5676,7695,6397,329,48488,1246,13542,7660,6401,15502,27461,40766,6534,10802,29098,33334,3427,102368,525,6063,2610,28840,4721,1163,2960,5757,14637,9628,36929,13556,15311,2401,13768,18391,1463,21232,3363,5804,426,1957,117172,37498,28299,4045,41661,73155,66059,40600,22963,45673,14629,980,31028,6626,31547,50686,10791,23571,58981,30621,149511,17832,12636,7230,46902,17853,83394,3997,16938,12784,39247,117499,2,0,10514,27685,28656,3592,116345,13652,4691,14743,2901,3614,1127,238,1210,11771,402,55949,10583,1029,571,27096,28157,22023,44898,5841,20211,61656,11823,7382,33,26681,3790,3088,20753,3179,2074,4937,3262,39842,6666,10829,1307,42943,2544,35352,3506,6264,5336,2194,10618,6581,6558,0,0,0,866,6243,227,2710,1932,358,2066,6826,1728,3187,343,0,3201,9526,0,374,3995,31,134,421,0,0,0,320,38454,4763,8728,361,0,1715,184
DE,0,0,26558,5296,203462,30377,7767,36813,13588,383482,99705,73274,4988,11917,12677,50075,38393,7678,9606,24989,108408,39413,100756,168350,5732,0,171461,7115,40970,46148,50423,8253,5519,109164,75439,312202,59287,7317,14831,20874,11753,67115,27812,20014,77997,26809,18905,55368,74443,176638,22828,3893,11259,103956,231752,134994,129986,73570,22917,26026,14276,129580,10923,261190,6107,79410,38060,50734,52089,337500,287521,31895,105167,270857,464357,40148,244990,19479,67678,10395,146958,13885,6522,6242,12788,178479,29869,131933,91193,194108,16781,10375,35656,38795,50809,35436,20214,2701,15470,237666,99329,62298,23840,30232,545119,379658,245289,381012,275254,127178,17321,87737,61476,258089,500754,119293,250407,455495,87254,1055396,244355,90015,110252,391574,151314,1078880,20574,130496,27955,331587,359784,1186,26493,66767,502645,435154,7235,977244,202681,219455,193304,7169,52104,5966,11795,21195,62118,42881,483653,37269,35265,14952,285801,139993,243209,344344,183992,161144,451796,86129,114577,7200,236988,19446,21747,55142,38655,29468,44266,34290,638105,223951,78776,5228,144787,85871,837872,130619,22303,93723,36311,249369,10071,27968,0,3754,0,8233,15887,0,0,43918,9562,31261,10183,23301,12643,4301,10371,22551,20000,4291,3937,56738,6994,4064,1661,0,45491,2871,4748,0,443371,25082,948,0,387,638
DK,0,0,666,388,14440,2028,867,0,869,14605,6048,3954,33,145,271,2906,1370,86,149,826,7818,508,4771,0,0,0,3778,0,673,1436,3896,0,860,16719,754,13498,1776,0,504,225,0,5405,559,3236,0,998,0,1026,872,8955,938,1440,0,706,9474,2644,8872,1912,668,1657,1564,6299,3545,4764,8,1867,1482,637,1419,26077,13435,3073,983,10252,336,1290,2773,2525,179,531,9318,987,202,200,0,4247,1157,7512,1460,9260,586,1389,2329,1920,3179,1850,1169,59,848,23309,3995,7301,1326,3608,43335,44673,19352,24067,16005,6175,634,5251,4445,19161,38407,13329,27452,31964,6097,101984,10413,9798,4319,23720,13387,56313,252,3213,0,26344,28480,3838,14285,1731,21302,17226,34,49453,10912,14456,19978,3229,6716,747,289,5206,11251,3189,46314,3390,645,669,37614,14789,12793,18739,7882,15198,34342,3867,8522,590,12068,2639,2128,5518,3017,2139,3995,1626,21274,1306,4318,727,2898,2395,38107,3584,4146,4128,1959,5159,828,3396,566,0,0,3714,3108,43,186,1338,864,4442,2445,1181,2255,195,943,520,57,0,31,3941,787,318,3529,0,8234,4,155,0,0,3743,0,0,82,15
EE,0,0,752,1061,2802,586,74,2169,115,3125,1589,1541,185,21,168,3521,6224,462,770,4050,8993,533,800,2743,41,0,1297,0,649,156,210,0,0,319,638,2782,1099,0,0,85,0,1725,383,29,0,208,11,123,202,5937,390,0,0,285,2394,216,1691,2226,121,2302,85,594,211,3100,17,381,333,36,507,105,1465,570,107,822,72,660,2401,603,0,0,7340,185,0,313,10,849,656,3319,430,3548,311,1863,1367,177,1122,311,496,32,513,13300,4059,3718,917,1470,8521,3136,2990,3444,3417,2757,136,2611,477,4459,5122,1114,3533,7711,2450,19855,1193,2121,919,5933,2794,10048,637,1342,1238,5824,13353,717,138,1922,8816,4723,14,9971,1781,799,2776,97,1376,99,138,136,2111,464,6712,963,476,688,6427,3584,1592,4010,1236,3425,4939,1218,864,109,2337,606,326,547,214,246,1211,211,3597,2515,1319,191,5962,629,6961,783,319,1509,159,2263,252,608,3075,0,0,1772,161,11,498,675,3,442,705,653,643,0,0,26,0,0,0,0,0,32,0,1406,453,0,0,0,0,1225,0,0,36,0
EL,0,337,4812,458,8171,10603,4315,11311,2643,33708,9908,11015,2189,1350,1387,5890,21268,909,2918,1451,11512,1470,6454,11208,482,0,3025,494,2741,3992,1814,45,455,7091,2608,12528,1614,237,1862,1248,3264,10706,4591,797,3501,1311,5734,5205,1185,21434,1078,164,1295,1959,4384,5636,8141,660,203,2064,164,1648,333,2013,564,1422,1866,2197,1238,861,11436,1278,1524,2639,487,1152,1504,3847,1873,287,19370,5349,113,413,224,1356,2065,10695,667,20899,614,617,7572,1139,132,419,284,185,4758,93113,15317,13026,4128,14503,47318,33530,17018,27076,39808,19934,6894,34682,10147,68261,93365,10193,38559,62863,10935,111616,67235,20822,9029,98296,21363,143462,16932,14685,34,75550,45712,11218,4956,4029,36894,55370,29,117804,5816,81384,22433,4542,5772,821,5216,8738,13537,2327,15365,2879,347,1115,2443,7290,16572,53618,0,34110,63210,4437,10300,3881,14821,3081,4722,12153,1526,5626,4323,5751,3226,0,13840,0,38862,1162,40771,1706,5329,2253,3495,2534,1560,11358,76,0,0,2131,1487,2737,1264,14773,927,2652,2163,4087,2881,3641,1602,71,9,0,0,3680,71,68,256,4333,0,277,0,10771,3833,6566,124,1630,0,1
