geo,B051,B052,B081,B089,C101,C103,C104,C105,C106,C107,C108,C110,C131,C132,C133,C139,C141,C151,C152,C161,C162,C171,C172,C181,C182,C191,C201,C202,C203,C204,C205,C206,C211,C212,C221,C222,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C243,C244,C245,C251,C252,C253,C254,C255,C256,C257,C259,C261,C262,C263,C264,C265,C266,C271,C272,C273,C274,C275,C279,C281,C282,C283,C284,C289,C291,C292,C293,C301,C303,C309,C310,C321,C322,C323,C324,C325,C329,C331,C332,D351,D352,D353,E360,E370,E381,E382,E383,E390,F411,F412,F421,F422,F429,F431,F432,F433,F439,G451,G452,G453,G454,G461,G462,G463,G464,G465,G466,G467,G469,G471,G472,G473,G474,G475,G476,G477,G478,G479,H492,H493,H494,H501,H502,H521,H522,I551,I559,I561,I562,I563,J581,J582,J591,J592,J601,J602,J611,J619,J620,J631,J639,L681,L682,L683,M691,M692,M701,M702,M711,M712,M721,M722,M731,M732,M742,M749,M750,N772,N773,N781,N782,N783,N791,N799,N801,N811,N812,N813,N821,N822,N823,N829,S951,S952,B061,B062,B071,C102,C109,C142,C143,I552,I553,M741,M743,N771,N802,N803,C120,C267,C302,C304,H504,H511,H512,N774,B091,C192,H491,H495,H503,H531,H532,J612,J613,B072,B099,C268
AT,0,0,4123,678.0,18004,3867,860,5277,2389,31670.0,9469,8875,906.0,2055,929.0,4978,5616.0,2854.0,1446.0,10534,22504,7063.0,9838.0,11260,946,0,6497,365,2796.0,2632,2568.0,2507.0,4264,9327,2013,27384,9181,1467.0,890,1556.0,1168,10843.0,3447,3049.0,14714,3667.0,2732.0,7667.0,6462,22950,3545.0,290.0,1301.0,6608.0,13809,17717,7780,8579.0,913,1994.0,642.0,5833.0,2300.0,23898,677.0,3481.0,5022.0,4044.0,7974.0,14509.0,25554,6404,6488.0,27125,12768.0,4208.0,13907.0,226.0,1011.0,2293.0,27975,1773,859,3032.0,1902,8676.0,1665,13438,10594,25255,1865.0,2177.0,1844,3474.0,9928,2556.0,2414,98.0,3465.0,56067,24162,7990,1399,10197,84594.0,62784,37416,38961.0,27269.0,12356.0,2144.0,17122,16853,29442.0,43871.0,8752.0,37523,48794.0,4509,110806.0,23087.0,11620.0,11361.0,57706.0,21936,116638,2289.0,8362.0,7491.0,56477.0,59251.0,0.0,0.0,1902,33823,101993,1069.0,154781.0,10818.0,13697.0,10530.0,2500,6823.0,1158.0,563.0,4383.0,2364.0,942,47817.0,17810.0,1646.0,2310,28498.0,19399.0,25619,36066.0,23778,29669,59117,4988,8808,587,27937,2306,3615.0,4763,4984,3459,4507.0,1932.0,64605,13645.0,10533.0,1421.0,13071,13219.0,63876,7149.0,2079,5442,2744,7913,1056,3112,0.0,0.0,0,130,2107,103,985,7564.0,1081.0,2511,1594,2723.0,136,673,0,1036.0,0,0.0,81.0,6692.0,16,533,106,1145,3179,445,451.0,0,0,13602,21,0.0,41.0,0.0
BE,0,0,2712,166.0,13650,8921,1597,7305,2256,28161.0,18643,9795,857.0,2923,1026.0,13190,3264.0,989.0,262.0,1687,10392,2981.0,8839.0,17653,89,0,26905,1233,3346.0,4796,6178.0,1087.0,492,23521,2271,20698,7261,522.0,1911,485.0,2966,11332.0,2804,1027.0,12141,614.0,2709.0,7742.0,2450,24214,2365.66666666667,2361.0,2015.0,1849.0,15926,2451,5351,2343.0,1147,1438.0,0.0,2682.0,715.0,3753,1015.0,2962.0,3126.0,1354.0,2403.0,7092.0,10366,5456,1556.0,9029,19766.0,4607.0,10775.0,121.5,5547.0,411.0,12923,1438,184,56.0,643,4712.0,1017,10696,6443,18424,2443.0,40.0,7461,2009.0,3348,4409.0,4203,1178.0,9576.0,76596,16717,10619,4207,13156,78963.0,66877,46429,42785.0,20966.0,12464.0,2021.0,16207,6641,36363.0,60727.0,12639.0,41127,50531.0,5417,102027.0,30957.0,5153.0,9620.0,44279.0,14730,104957,5605.0,4665.0,1105.0,17462.0,59132.0,185.5,773.0,17072,37596,17243,39.0,108463.0,19740.0,28849.0,11137.0,353,7112.0,758.0,414.0,1612.0,17414.0,4607,69162.0,4183.0,2592.0,6632,34681.0,24971.0,35401,30391.0,38913,76993,48794,9322,10694,464,14858,5764,3668.0,1598,4665,3331,8020.0,17269.0,141142,12347.0,7998.0,498.0,15034,1887.75,105805,19467.25,9525,5229,3379,10734,1344,3657,0.0,0.0,0,1131,3411,35,173,4609.0,710.0,4671,2960,3731.0,1358,109,1331,233.0,766,0.0,511.0,4333.0,1199,186,10,4401,35537,89,179.0,0,0,3539,77,0.0,24.3333333333333,8.0
BG,108,12024,3585,414.142857142857,16098,7091,2791,8702,3366,29575.0,10431,13631,4009.0,1472,482.0,6174,93871.0,2555.0,13570.0,6350,10499,1672.0,7573.0,9263,67,0,4074,318,1507.0,5288,2100.0,487.0,12,8197,4382,22214,4650,454.0,2290,1804.0,1516,6231.0,1819,3408.0,1601,979.0,319.0,4965.0,3665,11748,2310.0,148.0,11839.0,547.0,13051,3280,11598,3175.0,354,1182.0,371.0,1864.0,323.0,8279,1036.0,3549.0,1153.0,3830.0,3104.0,10520.0,11775,1177,1925.0,5874,0.0,261.8,17173.0,596.0,6.0,2152.0,21938,976,173,1621.0,2135,2280.0,2461,15392,1513,28269,758.0,3546.0,17154,254.0,9866,2655.0,1895,832.0,1264.0,57038,19097,9505,13929,3571,16653.0,13865,12241,9158.0,18148.0,17937.0,328.0,5430,8054,41633.0,29654.0,4575.0,12171,39188.0,14727,112138.0,27156.0,14714.0,8002.0,29357.0,10264,86396,4505.0,6423.0,4129.0,31771.0,58758.0,80.0,569.0,1152,31293,38591,1038.0,58520.0,5795.0,31372.0,5334.0,1248,3078.0,516.0,566.0,2745.0,5687.0,1672,37196.0,4839.0,3416.0,3409,22279.0,9175.0,3369,25079.0,810,11480,17942,3644,2888,143,9090,3192,1410.0,12675,1221,168,1637.0,1320.0,3512,6197.0,5425.0,526.0,48780,1447.0,10079,1720.0,1809,4962,730,6829,1613,4158,0.0,51.0,0,1484,1566,124,9451,1080.0,63.0,1252,1861,1998.0,8725,155,3162,1438.0,2057,0.0,593.0,1537.0,348,221,38,2129,8846,0,310.0,0,0,11244,0,6768.33333333333,346.0,60.0
CH,0,0,3947,238.0,15631,1217,451,12219,1751,26323.0,21598,6519,627.0,1855,1081.0,4188,3764.0,1046.0,627.0,4938,32218,1634.0,7347.0,19407,336,0,7035,1361,5394.0,5720,9152.0,508.0,9663,35081,1656,22337,4123,467.0,562,1024.0,1360,6307.0,1422,2699.0,1647,1891.0,1559.0,3720.0,4048,14872,1309.0,0.0,3396.0,4248.0,38896,11624,9230,27802.0,1049,2873.0,312.0,67102.0,10337.0,13312,464.0,5321.0,2364.0,3350.0,9533.0,17021.0,26659,1476,14493.0,23331,1407.0,1250.0,2415.0,503.0,5794.0,901.0,10705,2505,262,521.0,62,14149.0,4392,12689,2654,28004,1055.0,67.0,1364,2808.0,2514,2680.0,4631,192.0,414.0,87355,14945,2291,2527,2080,114460.0,52964,52722,4717.0,60015.0,5571.0,2890.0,3086,7576,31463.0,58428.0,14831.0,33440,57786.0,5456,123482.0,19310.0,9400.0,10915.0,26029.0,23301,90673,296.0,7664.0,4318.0,38048.0,36096.0,144.0,733.0,4683,33519,66731,26.0,107357.0,22731.0,11070.0,15169.0,529,6498.0,708.0,1022.0,7737.0,18727.0,1314,75702.0,6967.0,1454.0,4638,7059.0,26987.0,17512,47209.0,24677,38702,93814,3924,15494,1285,16453,4746,1039.0,4527,4523,1271,3173.0,5907.0,90391,4121.0,10207.0,4537.0,19011,11556.0,55823,21008.0,2460,4196,4685,5793,1154,1767,28.0,0.0,0,243,1580,0,411,2275.0,1749.0,6863,604,1399.0,718,0,2264,5883.0,4159,0.0,722.0,10703.0,1114,94,99,914,35432,1115,2033.0,29687,14158,3711,400,0.0,0.0,69.0
CY,0,0,0,0.0,1254,735,0,1898,273,5345.0,557,824,0.0,0,39.0,355,360.0,16.0,39.0,10,1788,0.0,563.0,0,0,0,0,87,183.0,249,0.0,0.0,0,1240,14,829,199,13.5,129,56.0,239,807.0,444,17.0,0,48.0,0.0,267.0,0,2214,51.0,0.0,22.0,0.0,221,106,447,0.0,0,0.0,0.0,0.0,0.0,178,0.0,0.0,90.0,144.0,0.0,0.0,330,57,0.0,69,0.0,58.25,80.0,26.0,0.0,0.0,892,359,6,0.0,19,173.0,140,1124,49,2220,0.0,0.0,355,401.0,387,95.0,405,0.0,1048.0,6954,645,329,350,986,4566.0,1445,2191,1653.0,3863.0,1171.0,151.0,1280,330,5882.0,5232.0,908.0,1522,3392.0,944,11934.0,1832.0,1160.0,1392.0,4555.0,1445,10379,38.0,773.0,0.0,3134.0,1905.0,1373.8,58.0,151,9086,17098,9.0,14410.0,1086.0,4770.0,737.0,394,300.0,17.0,171.0,575.0,2651.0,1027,2476.0,378.0,193.0,74,302.0,1278.0,4116,7630.0,1043,3931,2084,364,0,0,1163,376,354.0,439,213,121,247.0,266.0,663,1096.0,1454.0,93.0,1241,88.0,1854,326.0,499,61,219,496,133,303,0.0,0.0,0,0,301,0,17,489.0,18.0,287,153,664.0,0,8,0,0.0,0,0.0,0.0,613.0,0,17,0,38,0,0,0.0,667,713,143,71,0.0,0.0,0.0
CZ,0,0,5199,274.0,23441,3216,912,8687,3017,35836.0,17292,14957,1985.0,5911,981.0,16570,22579.0,3505.0,2251.0,8046,46320,3247.0,15705.0,21344,2554,0,15386,850,2382.0,4498,5103.0,1075.0,1230,8301,20557,61540,23340,3220.0,3298,5630.0,1881,13640.0,2582,3205.0,18862,4656.0,3261.0,3384.0,14888,30924,10010.0,2462.0,4026.0,9312.0,47209,48407,30486,8007.0,5898,5524.0,3769.0,15217.0,468.0,50738,1235.0,14723.0,12184.0,6319.0,14664.0,30459.0,44201,7887,12031.0,30258,34042.0,3434.0,111033.0,337.0,8324.0,2920.6,25972,4637,1152,2936.0,6386,15391.0,9085,36929,13556,20252,1502.0,12095.0,18406,1257.0,23938,3153.0,5402,715.0,1763.0,99131,30017,25648,3449,46783,63695.0,59253,38807,22312.0,45026.0,14505.0,944.0,50785,7208,33373.0,51383.0,12356.0,25094,62300.0,30434,160837.0,16520.0,11553.0,6022.0,39175.0,16822,78817,3270.0,16474.0,10713.0,37705.0,116594.0,2.0,0.0,10885,28988,27560,2758.0,110807.0,13062.0,5493.0,12058.0,3783,3134.0,1123.0,240.0,1099.0,4506.0,298,66510.0,11568.0,889.0,817,34794.0,25213.0,24209,47578.0,9421,19218,60099,13275,8305,60,24998,3742,2866.0,29772,3636,2125,4464.0,7790.0,61600,8941.0,11420.0,1005.0,43295,4853.0,34074,4430.0,5987,6729,1931,12830,7674,7245,0.0,0.0,0,743,5396,208,2053,2273.0,322.0,2264,6492,1787.0,2772,344,0,3118.0,10410,169.2,306.0,2446.0,22,196,642,0,0,0,320.0,37195,2769,13207,178,0.0,1622.0,147.0
DE,0,0,28385,5080.0,178137,33427,5499,45372,15632,374236.0,106662,68696,3850.0,10226,13871.0,51010,38113.0,6901.0,9405.0,25468,106767,39394.0,105838.0,145713,5062,0,181050,4079,42727.0,47071,53223.0,8280.0,6103,121615,79157,338695,60477,6450.0,14797,22208.0,12041,72984.0,30394,27731.0,79336,28963.0,20597.0,56444.0,78257,179833,23434.0,4885.0,12540.0,115372.0,271581,143117,133079,72693.0,22482,23853.0,12112.0,153084.0,10523.0,277586,8915.0,79367.0,37917.0,49453.0,52934.0,358570.0,307031,39106,114842.0,280752,518563.0,43310.0,276102.0,19587.0,75022.0,10395.0,142679,10717,6931,7275.0,13747,188328.0,32007,145850,92751,203101,14174.0,10904.0,35138,43471.0,73057,41960.0,30202,3568.0,26799.0,278917,102704,64481,37544,38510,771425.0,558329,323443,389251.0,281733.0,134639.0,19496.0,100606,65724,256967.0,478806.0,121791.0,276166,429725.0,96148,1052227.0,261870.0,83759.0,109215.0,405467.0,150456,1140556,23502.0,184828.0,27907.4,411706.0,415945.0,2848.0,14995.0,92081,614997,480764,6410.0,1079064.0,235884.0,227497.0,181253.0,16545,60254.0,8429.0,12046.0,29577.0,65435.0,28807,665197.0,50761.0,41857.0,21305,412864.0,180835.0,277188,393283.0,282440,235738,554317,96900,157005,9190,226026,22044,24420.0,70367,47505,32774,55147.0,33593.0,807765,138296.0,83099.0,9979.0,187978,115480.0,983696,163260.0,22704,128114,46041,316491,10606,31136,0.0,3972.0,0,7876,19146,0,0,45911.0,9517.0,43505,13472,28885.0,13891,5238,10498,26899.0,21780,4291.0,4374.0,57381.0,6324,3964,1661,0,19895,3199,5525.0,0,516683,19449,649,0.0,387.0,662.0
DK,0,0,836,470.0,17796,1985,580,0,1254,10990.0,6546,4613,33.0,134,186.0,3357,1425.6,130.0,59.0,802,8692,256.0,5880.0,0,0,0,5265,0,764.0,1689,6203.0,0.0,1767,29542,845,14762,2177,0.0,706,211.0,0,7938.0,440,4063.0,0,1352.0,0.0,1226.0,1867,11841,1225.0,1440.0,0.0,1083.0,12606,2952,9645,1582.0,770,1942.2,1923.0,8726.0,4594.0,6434,0.0,2914.0,1722.0,560.0,1670.0,30563.0,18168,3929,1160.0,12676,459.428571428571,1494.0,2428.42857142857,1318.0,535.0,735.0,10804,885,179,200.0,0,4620.0,997,10311,1593,11374,760.5,1769.5,1111,2336.0,4349,2756.0,1780,83.0,1202.0,25355,5301,11424,1810,4339,51848.0,44941,23068,28784.0,15492.0,8057.0,545.0,6564,4673,23656.0,49479.0,16802.0,35740,40432.0,8801,76354.0,7020.0,5959.0,3277.0,22505.0,10574,48433,219.0,4390.0,0.0,26950.0,33776.0,5653.0,16105.0,2669,32123,15774,54.0,34795.0,11944.0,8476.0,16341.0,5247,5985.0,771.0,373.0,3423.0,11059.5,3440,57140.0,6228.0,836.0,841,19333.0,14811.0,11362,20443.0,17231,14894,47329,4972,14376,296,10332,1448,1999.0,6715,2755,1342,5282.0,972.0,26166,2102.0,5318.0,890.0,3039,4632.0,34004,4492.0,6298,3795,1746,6213,984,2985,1030.0,0.0,0,4147,3677,61,177,904.0,865.0,5160,1696,1559.0,2766,201,663,621.0,57,0.0,46.0,7150.0,1057,338,1995,0,6622,4,154.0,0,0,5092,0,0.0,125.0,11.4285714285714
EE,0,0,718,1042.0,3071,744,74,2046,115,2987.0,2436,1566,184.5,59,213.0,3728,5794.0,500.0,750.0,4947,11623,503.0,879.0,2898,22,0,1453,0,683.0,234,166.0,0.0,0,319,738,3262,1180,0.0,0,108.0,0,2162.0,450,29.0,0,208.0,15.5,124.6,163,6584,378.0,0.0,0.0,337.0,2465,371,2622,2512.0,117,2452.0,100.5,503.0,324.5,3626,17.0,660.0,357.0,36.0,889.0,129.8,1889,640,149.4,964,72.0,668.0,2669.33333333333,741.0,0.0,0.0,7720,185,0,325.0,24,991.5,668,4238,481,3179,323.0,1595.0,1184,181.0,1122,346.0,305,19.0,313.0,14224,4207,4114,814,1682,8740.0,4472,5030,4001.0,4431.0,3180.0,167.0,989,632,5859.0,5771.0,1081.0,4315,8580.0,2573,21041.0,1191.0,2052.0,903.0,5836.0,2103,11573,1149.33333333333,2304.0,1256.0,3743.0,16124.0,670.0,138.0,2017,10832,5673,14.0,13332.0,1605.0,1114.0,2702.0,156,1294.0,107.0,169.5,157.75,2179.0,464,9255.0,1687.0,496.0,792,6402.0,3510.0,1646,5087.0,1190,3691,5067,1172,1034,64,2755,715,311.0,1277,352,282,1842.0,279.666666666667,6834,2446.33333333333,1214.0,420.0,6087,521.333333333333,8678,934.0,528,1543,246,2017,393,698,3075.0,0.0,0,1841,204,27,482,841.0,3.0,736,859,696.0,575,0,0,23.0,0,0.0,0.0,0.0,0,55,0,1668,441,0,0.0,0,0,2988,0,0.0,40.0,0.0
EL,0,337,3534,573.0,9055,12586,5855,10475,3344,45730.0,11697,9774,1159.0,305,1122.0,5298,13472.0,1079.0,1866.0,1074,6273,875.0,6849.0,10247,444,16,2594,589,2277.0,4532,1488.0,25.0,730,6822,763,11191,1405,233.0,596,983.0,2126,6012.0,4418,1131.0,2265,923.0,414.0,4740.0,868,17640,737.0,92.0,1474.0,568.0,2781,2453,6322,717.0,221,575.0,101.0,1315.0,116.0,1733,585.0,1108.0,1489.0,1869.0,612.0,961.0,4673,1353,1446.0,2506,114.0,1042.0,827.0,2110.0,1559.5,247.0,11670,3993,132,303.0,216,3903.0,1345,12875,1687,30730,614.0,617.0,10561,1139.0,2176,1775.0,1692,185.0,512.0,48439,13597,5661,11052,12641,35336.0,22348,15024,11954.0,30287.0,16861.0,5442.0,18918,6320,57436.0,70025.0,8761.0,22240,43661.0,2373,119336.0,54716.0,15438.0,10370.0,51604.0,20291,135135,13783.0,8496.0,34.0,74973.0,34551.0,7427.0,9958.0,2946,41289,81845,811.0,170293.0,9670.0,130644.0,12109.0,1253,5184.0,572.0,2449.0,3904.0,10166.0,3811,24250.0,5238.0,3084.0,2415,4966.0,6679.0,59157,41066.0,1024,42869,80472,4518,12179,3857,13560,3690,4732.0,4588,2393,3959,3446.0,3849.0,6857,709.0,15329.0,491.0,17075,540.0,31910,1989.0,4439,3613,3023,4878,2220,9498,76.0,0.0,26,1351,2036,3329,791,33067.0,2126.0,1110,2206,4604.0,839,202,1803,129.0,9,0.0,0.0,3241.0,331,115,256,3713,0,277,0.0,8155,6936,8265,215,1874.0,83.0,33.0
