geo,B051,B052,B081,B089,C101,C103,C104,C105,C106,C107,C108,C110,C131,C132,C133,C139,C141,C151,C152,C161,C162,C171,C172,C181,C182,C191,C201,C202,C203,C204,C205,C206,C211,C212,C221,C222,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C243,C244,C245,C251,C252,C253,C254,C255,C256,C257,C259,C261,C262,C263,C264,C265,C266,C271,C272,C273,C274,C275,C279,C281,C282,C283,C284,C289,C291,C292,C293,C301,C303,C309,C310,C321,C322,C323,C324,C325,C329,C331,C332,D351,D352,D353,E360,E370,E381,E382,E383,E390,F411,F412,F421,F422,F429,F431,F432,F433,F439,G451,G452,G453,G454,G461,G462,G463,G464,G465,G466,G467,G469,G471,G472,G473,G474,G475,G476,G477,G478,G479,H492,H493,H494,H501,H502,H521,H522,I551,I559,I561,I562,I563,J581,J582,J591,J592,J601,J602,J611,J619,J620,J631,J639,L681,L682,L683,M691,M692,M701,M702,M711,M712,M721,M722,M731,M732,M742,M749,M750,N772,N773,N781,N782,N783,N791,N799,N801,N811,N812,N813,N821,N822,N823,N829,S951,S952,B061,B062,B071,C102,C109,C142,C143,I552,I553,M741,M743,N771,N802,N803,C120,C267,C302,C304,H504,H511,H512,N774,B091,C192,H491,H495,H503,H531,H532,J612,J613,B072,B099,C268
AT,0,0.0,4340.0,668.0,18197,4175,986,5704,2710,32667,10097,9087.0,597,1842.0,510.0,5202,4209,2545.0,1408,10714,22575,6941.0,9825.0,10429.0,820.0,0,6879,351,2858,2169,2736.0,2977,5037,9851,1998,28170,8477,1364,947,1503,1138,11090.0,3379,3128,14775,3521.0,3324,8120,6965.0,23420,3273.0,314.0,1664,6956,14567,19259,8159,9590,844,2070.0,382.0,6426,2497.0,24449,954.0,4055,5633,3851.0,8137,13486,27016,6160,7052,28187,15188.0,4264,14370,282.0,1332,3165.0,27218.0,1675,869,3083,1891.0,8805,1691,14147,11092,25142,1335,2370,1723,3677,10608,2711,2532,104,4414,63185,20254,8276,1486,11361,88222,64470.0,39536,40145,28749,12179.0,2339,17580,16403,31272,46042,8896,37850,47429,4997,118855,23287,11577,11134,57311,22263,118741,2339.0,8963,7646.0,58580.0,62909,0.0,0.0,2331,35486,106063,1087,168238,11954,13323,10941,3522.0,7024,1216,617.0,1024,2245,821.0,54991.0,19524,1894,2796,25943,21932,26746,38839,27489,30297,63000,5162,9371,572,29714,2051,3866,5886,5604,3638.0,5053,2316,75564,17338,10123.0,1333.0,14947,15869,69582,7856,1994,5270,3554,9417,881,2894,0,0.0,0,143,2300.0,81,894,7564.0,1081,2862,1843,2717,174,749.0,0,1194.0,0.0,0.0,81,8099,94,349.25,106.0,1268.0,3179,445,451,0.0,0,13602,21,0.0,41.0,0.0
BE,0,0.0,2488.0,170.0,14568,10151,2041,7164,3444,28184,18585,10606.0,676,2984.0,915.0,11952,3240,359.0,190,1685,10125,2487.0,8507.0,15689.0,141.0,0,25790,1281,4286,4760,5940.0,705,699,24682,2062,22167,7879,252,1941,569,3624,10261.0,2615,1179,11554,725.0,2662,7914,2520.0,21166,2007.0,1462.0,2401,2622,15749,2580,5522,2548,900,1225.0,0.0,3225,949.0,3144,952.0,3702,3091,1027.0,2433,7538,9529,5296,1314,8323,15457.0,5074,8673,103.0,5505,464.0,12079.0,1562,177,28,743.0,5859,1060,11620,10173,18637,272,33,7108,2875,4219,4524,4532,1528,11299,72258,16433,14620,4448,14410,85156,67384.0,49687,44344,20631,13354.0,1699,17106,5908,36914,57454,7887,42689,48652,2671,107877,31929,4889,8248,41022,14039,103478,5184.0,5142,1224.0,19532.0,59715,122.875,996.0,19778,38329,17417,136,112311,20532,24712,9326,1503.0,7589,1009,328.0,1633,16647,3537.0,81027.0,5573,1600,7870,41122,26103,37493,32856,53997,89537,51557,9685,11937,745,15310,4582,3233,2438,5139,4173.0,8070,19353,159840,22674,6690.0,703.0,17720,647,127571,20485,10745,5625,4507,14821,1362,3252,0,0.0,0,1338,3442.0,36,73,4964.0,734,6518,3246,3864,1697,83.0,1236,233.0,562.0,0.0,534,5122,1163,2363.0,10.0,4558.0,31974,959,164,0.0,0,3593,69,0.0,20.0,8.0
BG,19,10281.0,4156.0,476.285714285714,16897,7864,2634,8400,3610,28884,10577,13007.0,4345,689.0,403.0,7588,84394,2586.0,10629,6493,10280,1593.0,8499.0,9705.0,75.0,0,4569,430,1674,5516,2021.0,359,12,8197,5663,25733,5466,452,2300,1804,1543,6077.0,2105,2176,1544,1791.0,728,5384,3909.0,11353,2248.0,146.0,20673,259,12340,2822,11933,3418,353,1282.0,607.0,2175,442.0,9329,1072.0,3547,1223,4823.0,5209,11706,12420,978,1906,6341,0.0,281,24099,566.0,48,2141.0,22730.0,1001,158,2043,2867.0,2471,2599,16184,1784,27740,915,3124,16830,370,9390,3355,1690,1107,1332,60917,16865,7796,9970,3875,15669,16722.0,13449,11154,20149,18770.0,343,5967,8408,43471,32383,4288,13067,36852,17438,114362,25201,14345,6893,30066,9424,89102,3898.0,10110,4504.0,31594.0,72226,169.0,500.0,1159,32153,41439,1227,67822,6505,29781,4929,1067.0,3960,501,457.0,2556,4654,1672.0,54433.0,7124,4658,2948,25322,10005,3659,29707,646,13285,18309,3599,3413,99,9727,3674,1544,17070,1564,230.0,2254,1297,4413,8243,5944.0,580.0,46882,2806,10715,2035,2212,7587,750,9461,1779,4148,0,51.0,0,1688,2072.0,92,7245,1382.0,90,1654,2140,2796,7806,118.0,2050,1810.0,1948.0,0.0,601,1713,361,506.0,17.0,2449.0,8846,0,329,0.0,0,12733,0,6621.0,367.0,56.0
CH,0,0.0,3890.0,341.0,15322,3234,625,14917,873,28398,20158,6214.0,344,1563.0,1050.0,3709,3490,953.0,724,5174,29858,1681.0,6198.0,17313.0,284.0,0,7406,1462,5128,6274,8369.0,455,10219,36349,1697,20591,5183,59,797,974,1135,5273.0,1900,2215,1114,1761.0,1517,3784,4055.0,17903,888.0,314.0,1540,2793,38207,12179,8661,22622,353,1937.0,439.0,68705,9635.0,11187,747.0,4597,1232,4649.0,9767,16990,24680,870,12808,21854,1324.0,1076,2155,469.0,6820,1175.0,9248.0,1767,91,238,297.0,15284,3660,12422,1885,27404,987,607,1602,2958,2845,3409,3755,157,745,83049,15095,3566,1983,3097,112548,63018.0,42366,8766,55534,7199.0,3322,913,5543,30492,62435,13595,33875,51505,4899,133653,13751,6628,9854,29922,20385,80498,247.5,4266,4195.0,37667.0,35117,495.0,952.0,4067,33878,65881,128,109213,19323,6914,13100,170.0,5253,480,1053.0,8100,21788,1514.0,79597.0,8857,1172,4255,8743,28484,14924,49056,24715,47515,99516,6651,16835,732,15943,3146,922,4727,4670,1265.0,4245,5614,101837,8404,9860.0,4417.0,20285,13661,59853,22187,2925,3510,3604,6580,895,1808,28,0.0,0,714,1514.0,0,255,1488.0,230,7483,684,1970,1171,11.25,2110,4693.0,3771.0,0.0,525,11245,1172,1472.0,33.0,654.0,34300,130,2154,33068.0,10410,3624,391,0.0,2.25,61.0
CY,0,0.0,0.0,0.0,1513,760,0,2209,299,6121,645,931.0,0,0.0,48.0,452,314,14.0,39,12,1992,0.0,580.0,0.0,0.0,0,0,54,189,215,0.0,0,0,1240,10,913,254,10,108,37,239,858.0,500,16,0,31.0,0,354,0.0,2609,26.0,0.0,20,0,213,73,611,0,0,0.0,0.0,0,0.0,159,0.0,0,90,147.0,0,0,364,78,0,72,0.0,65,87,26.0,0,0.0,952.0,390,6,0,52.75,183,124,2075,93,2081,0,0,363,386,303,95,438,0,1355,10061,811,283,199,1138,5721,2501.0,4055,1885,4443,1659.0,190,1315,488,6754,5784,959,1884,4057,1290,13032,2326,1536,1558,4734,1510,12004,77.0,990,0.0,3343.0,1993,245.0,49.0,275,10745,20004,10,17862,1178,6409,663,671.0,478,14,205.0,647,2226,1128.0,3922.0,379,128,118,491,1787,4832,8781,1434,4942,2862,504,0,0,1523,379,445,660,312,137.0,388,333,387,1175,1714.0,153.0,1660,149,2436,526,680,159,247,950,251,350,0,0.0,0,0,372.0,0,18,573.0,22,441,251,840,41,10.0,0,0.0,0.0,0.0,0,388,0,109.0,0.0,38.0,0,0,0,647.0,999,164,106,0.0,0.0,0.0
CZ,0,0.0,5250.0,257.0,24924,3459,943,9031,3361,35466,17971,16426.0,2047,5566.0,591.0,17496,24269,3585.0,2085,7756,46006,3629.0,17524.0,21344.0,2554.0,0,16667,709,2434,5209,5478.0,917,1348,8757,22693,70710,24738,3457,3450,5647,1762,13877.0,2538,3458,17330,4706.0,3606,3957,14808.0,32843,9477.0,1978.0,4552,8785,53735,51856,34451,8065,6742,6527.0,3847.0,20844,437.0,51744,1396.0,10301,15025,6579.0,20668,29068,46910,8460,12247,32771,39882.0,3535,133749,338.0,9000,3498.4,25760.0,4775,1159,3282,7327.0,16510,9261,37601,14881,23526,2255,11515,18656,1383,25059,2873,5330,718,2012,87693,31385,23833,2186,56971,62698,59092.0,44153,24359,48668,14642.0,1073,42993,6894,33589,55090,11128,29814,67693,23468,154198,15538,11899,5758,40613,16236,80309,2312.0,20647,10358.0,38681.0,129567,2.0,0.0,13326,36755,30652,2564,116260,15862,7430,11815,4888.0,3142,1098,176.0,1133,6064,773.0,82506.0,13489,1142,436,32266,24860,24635,51771,9724,18777,63292,16145,11597,57,29226,3179,3431,37208,4035,2335.0,5251,17007,81461,8503,11412.5,1656.5,41466,4969,35071,4790,7654,8423,1945,13269,6442,7491,0,0.0,0,784,5521.0,186,1966,3244.0,315,2783,6630,2132,2951,278.0,0,2948.0,10146.0,676.8,293,2446,22,278.0,642.0,0.0,0,0,320,35345.0,4203,13359,262,0.0,1622.0,117.0
DE,0,0.0,29084.0,4801.0,194047,37490,5790,45454,15966,372552,115730,70654.0,3491,9789.0,11625.0,52932,34363,7389.0,8251,24481,108575,39592.0,106093.0,136885.0,2702.0,0,202034,3903,43818,48459,55022.0,8940,5593,115822,81829,356052,59443,6826,14387,21696,14257,70113.0,22994,28291,77045,27594.0,20300,60252,78395.0,189272,23355.0,4021.0,12730,119125,268483,146567,129513,75801,19448,24300.0,13420.6666666667,164915,23776.0,259114,9957.0,82778,34587,49234.0,53822,365560,327637,40520,117239,288453,546484.0,45572,274310,19238.0,77923,10395.0,143134.0,16062,6696,7221,14287.0,190646,28752,146851,93390,207488,15990,10983,35422,44609,73386,53805,33633,4714,24143,277570,114296,68765,51005,44465,824275,565338.0,335025,431176,301047,138580.0,20692,90610,64612,289748,464739,135888,324411,470030,84019,1117522,310889,63585,106006,430775,147987,1162754,25510.0,235446,27140.6,465354.0,459974,3629.0,14728.0,128490,648071,518172,6958,1241639,297307,240516,168056,20891.0,71462,8728,8727.0,34602,56039,27061.0,772118.0,71589,39816,22535,260563,220646,293738,437638,358161,264872,665317,121118,176080,11461,230950,21443,27073,97163,54823,36013.0,66096,49246,872241,142502,92727.0,14500.0,232328,145304,1104890,199465,22430,156922,51921,388325,11341,34377,0,3927.0,0,7521,19846.0,0,0,56937.0,12918,58222,16886,31913,16957,5611.0,9781,26940.0,19785.0,4291.0,4211,55786,6972,2392.0,1661.0,0.0,19895,3333,6103,0.0,572186,20171,693,0.0,387.0,446.666666666667
DK,0,0.0,741.0,346.0,13705,1624,499,0,1108,14447,6124,3258.0,30,121.0,177.0,3202,1547,315.333333333333,61,1008,7305,190.0,4622.0,0.0,0.0,0,4018,0,1049,1776,3654.0,0,1767,29542,806,12294,1532,0,882,247,0,7374.0,397,3200,0,1106.0,0,1100,1626.0,10682,935.0,1440.0,0,1287,11480,2469,7961,1305,569,1626.0,1219.0,7796,3526.0,5034,0.0,2182,1395,504.0,1332,25146,16087,2979,1060,10991,552.0,1355,2170,1169.0,445,688.0,9324.0,1072,173,200,0.0,5822,1050,9989,1690,8713,837,1924,2305,1878,3231,2310,1583,97,1741,24354,4468,9747,2128,5367,48620,52130.0,26888,26614,17529,6806.0,712,6461,4183,23284,45300,11834,30313,33496,7981,117417,10960,7289,1914,26104,12631,60787,552.0,8479,0.0,26222.0,31139,5351.0,12350.0,2606,27716,20492,127,74449,14534,19833,17278,5703.0,8601,1119,330.0,3165,7641,3597.0,55607.0,7197,948,1262,41146,18204,12422,20963,15055,20562,44512,4492,11918,299,11591,2187,2575,6574,3692,1281.0,5680,1233,41823,3265,4715.0,968.0,4123,6024,46840,5928,7256,5091,2791,8098,1027,3521,699,0.0,0,3673,2659.0,89,113,1632.0,882,7023,3757,1783,2532,242.0,333,550.5,57.0,0.0,25,7150,1057,339.0,1324.0,0.0,6622,4,132,0.0,0,5092,0,0.0,36.0,2.85714285714286
EE,0,0.0,720.333333333333,790.0,2916,845,74,2099,115,2999,2705,1478.0,253,59.0,164.25,4054,5338,414.0,619,5421,12564,460.666666666667,904.666666666667,3021.0,0.0,0,947,0,684,489,153.25,0,0,344,682,3319,1188,0,0,140,0,2459.0,521,30,0,328.5,12,125,112.333333333333,7083,284.25,0.0,0,328,3128,370,2471,2410,114,2564.5,119.0,484,315.0,4055,17.0,724,445,36.0,996,136,2042,550,160,1145,72.0,907,1883,785.5,0,0.0,7813.0,185,0,296,38.0,990,686,4173,453,3485,240,1396,1167,112,1299,414,423,37,410,16897,4115,3109,1072,1570,9802,4890.0,5874,4280,5152,3144.0,220,830,679,5832,5909,1222,4685,8732,3186,21381,1254,2026,872,6345,2156,12189,902.0,2856,1256.0,3812.66666666667,16252,766.0,138.0,1960,10783,6248,14,16229,1937,897,2777,236.666666666667,1313,125,135.333333333333,165,2179,940.0,12478.5,2314,585,974,7220,4077,1868,6158,1270,3820,5706,1241,938,90,3107,565,436,1539,445,387.666666666667,1838,314,7395,2412,1204.0,616.0,5521,396,9313,1032,629,1462,258,2004,363,539,2819,0.0,0,1385,238.333333333333,22,348,1022.5,5,1290,978,892,575,0.0,0,21.0,0.0,0.0,0,0,0,80.0,0.0,1297.0,441,0,0,0.0,0,2870,0,0.0,35.6666666666667,0.0
EL,0,400.666666666667,2771.0,689.0,9691,15437,5749,11667,3252,50193,11618,8635.0,1062,278.0,1026.0,5195,12000,1331.0,1721,1078,5239,841.0,6900.0,8832.0,454.0,6,2247,651,1952,4881,1434.0,23,845,8700,381,11310,1983,185,452,835,1650,5302.0,4508,1514,2252,750.0,353,5179,818.0,15510,638.0,109.0,565,557,2790,2490,5504,465,219,475.0,54.0,1416,117.0,1480,816.0,1231,1381,1690.0,517,862,4362,1203,1461,2270,415.0,551,791,2087.0,1555,259.0,10709.0,3539,135,417,238.0,3480,1264,12644,1649,28851,346,645,6335,922,3314,1912,1925,204,507,31151,11458,6426,7023,9669,30950,16465.0,10612,10980,29136,16459.0,4626,18453,6925,60009,61654,8236,21452,38517,2300,120791,53593,16685,10613,44005,19280,128556,10336.0,7814,34.0,60161.0,33093,8533.0,7599.0,2698,42453,104355,779,217614,10876,157175,9568,1316.0,8049,540,2229.0,5425,10458,3475.0,23823.0,4900,2009,2502,5581,5967,44123,38462,1099,31223,59207,3906,10474,2666,12193,2979,4637,3062,2399,3800.0,3710,621,12600,3550,18532.0,584.0,25783,1203,32345,1881,3412,5418,3717,5306,1424,7921,76,0.0,3,1437,1995.0,2464,489,36380.0,3979,963,1854,5414,1011,222.0,1939,135.0,6.0,0.0,0,3614,167,120.0,337.0,3712.0,0,256,0,7064.5,8244,8759,277,1440.0,28.0,11.0
