geo,B051,B052,B081,B089,C101,C103,C104,C105,C106,C107,C108,C110,C131,C132,C133,C139,C141,C151,C152,C161,C162,C171,C172,C181,C182,C191,C201,C202,C203,C204,C205,C206,C211,C212,C221,C222,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C243,C244,C245,C251,C252,C253,C254,C255,C256,C257,C259,C261,C262,C263,C264,C265,C266,C271,C272,C273,C274,C275,C279,C281,C282,C283,C284,C289,C291,C292,C293,C301,C303,C309,C310,C321,C322,C323,C324,C325,C329,C331,C332,D351,D352,D353,E360,E370,E381,E382,E383,E390,F411,F412,F421,F422,F429,F431,F432,F433,F439,G451,G452,G453,G454,G461,G462,G463,G464,G465,G466,G467,G469,G471,G472,G473,G474,G475,G476,G477,G478,G479,H492,H493,H494,H501,H502,H521,H522,I551,I559,I561,I562,I563,J581,J582,J591,J592,J601,J602,J611,J619,J620,J631,J639,L681,L682,L683,M691,M692,M701,M702,M711,M712,M721,M722,M731,M732,M742,M749,M750,N772,N773,N781,N782,N783,N791,N799,N801,N811,N812,N813,N821,N822,N823,N829,S951,S952,B061,B062,B071,C102,C109,C142,C143,I552,I553,M741,M743,N771,N802,N803,C120,C267,C302,C304,H504,H511,H512,N774,B091,C192,H491,H495,H503,H531,H532,J612,J613,B072,B099,C268
AT,0,0.0,4127.0,661.0,18314,3845,919,5406,2489.0,31708,9819,9102,818,1733.0,860.0,5221,5237.0,2713.0,1426.0,10494,22262,7002,9828,11024.0,858.0,0,6684,367,2744,2611,2455.0,2643,4609,9550.0,2014,27511,8709,1467.0,879.0,1579,1140,10929.0,3447,3108.0,14531.0,3642.0,3119.0,7814,6653.0,23209,3535.0,320.0,1325.0,6696.0,13736,18236,7826,8930,892.0,2063.0,354.0,5965.0,2331.0,23867,718.0,3609.0,5163,3988.0,8165.0,13913,26070,6320,6638,27551,13100.0,3913.0,14250.0,229.0,1143.0,2549.0,27677,1739,837,3072,1854.0,8714.0,1622,13629,10564,25363,1561.0,2244.0,1695,3488,10052,2596,2410,98.0,3661,58616,21889,8223,1703,10256,84248,61717.0,37631,38848,27293,11961,2167,17133,16809,30229,43965,8833,37329,47629.0,4520.0,113971,22967,11689,11320,57297,22507,117957,2249,8537,7494.0,57126.0,59637,0.0,0,1997,34245,102718,1065.0,159114,11327,13703,10850,2575,6982,1169,585,4502.0,2397.0,954,49342,17010,1688.0,2604,25441,20809,26129,37044,25083,29359.0,60037,4888,9004.0,589,28650,2189,3640.0,4947,5270,3761.0,4530,1916.0,63328,13936,10361,1378,13851,14101,64932,7220,1960,5498,2951,8240,1060,3046,0.0,0.0,0,141.5,2177,95.6666666666667,954.666666666667,7564,1081.0,2628,1677,2721,174.0,749.0,0,1041.0,0.0,0.0,81.0,7161.0,42.0,471.75,106.0,1180.0,3179.0,445,451.0,0.0,0,13602,21,0.0,41.0,0.0
BE,0,0.0,2457.0,168.0,14767,9516,1325,7150,2842.0,27242,17859,9827,805,2907.0,903.0,12718,3338.0,504.0,195.0,1746,9533,2986,8061,16494.0,54.0,0,26470,1247,4536,4850,6319.0,860,571,23367.0,2095,20540,7102,346.0,1917.0,509,3392,10545.0,2489,1220.0,11326.0,634.0,2947.0,7754,2191.0,24499,2063.0,1636.0,2091.5,2369.5,14894,2697,4505,2457,1066.0,1463.0,0.0,2954.0,788.5,2711,994.0,3707.0,3968,1245.0,2190.0,7112,8729,5375,1420,8167,15885.0,4764.0,8910.0,115.0,5571.0,442.0,12506,1593,146,60,707.0,5250.0,1007,11167,8016,19929,339.0,25.0,7372,2113,4493,4126,3929,1503.0,8576,72664,15822,10531,3807,12557,78935,66856.0,43114,42787,21613,12855,1977,16277,6822,35989,59642,10673,39862,49036.0,5363.0,103087,32758,5433,10525,44124,14108,108347,6083,4567,982.0,18063.0,58008,164.625,1038,17461,37755,16756,52.0,106954,20573,28738,10814,505,7268,876,380,1457.0,17373.0,4787,70737,4414,2072.0,6788,39083,25898,35479,31115,43394,81616.0,50042,9622,10841.0,615,15314,5264,3480.0,1540,4716,3951.0,9140,14275.0,147114,20511,8058,674,15537,2517,114040,20158,9709,5647,3990,12189,1179,3497,0.0,0.0,0,1114.0,3235,45.0,117.0,5283,683.0,4619,3218,3984,1170.0,106.0,1359,233.0,689.0,0.0,667.0,4397.0,1210.0,2773.0,10.0,4525.5,34574.0,1025,174.0,0.0,0,3728,78,0.0,20.0,8.0
BG,77,11918.0,4767.0,434.857142857143,16039,6845,2916,8460,3064.0,29930,11439,13430,4216,1174.0,480.0,6595,92128.0,2702.0,12328.0,6619,10583,1739,8660,8926.0,65.0,0,4584,318,1652,5215,1868.0,395,12,8197.0,5214,23487,4859,441.0,2159.0,1849,1659,6419.0,1937,2417.0,1737.0,858.0,735.0,4891,3588.0,11909,2265.0,151.0,14003.0,377.0,13005,3350,11970,3272,336.0,1362.0,597.0,2131.0,337.0,8730,957.0,3719.0,1165,3956.0,3157.0,11006,11387,1144,1852,6159,0.0,268.2,20490.0,649.0,10.0,2285.0,21839,957,172,1796,2312.0,2640.0,2334,15487,1797,27567,805.0,3379.0,17052,268,9754,3441,1696,949.0,1037,55801,20473,9545,13413,3957,16199,14013.0,12809,9544,18407,18181,355,5495,7799,41429,30272,4287,12337,37368.0,14540.0,113359,24320,14718,8168,28999,9766,85781,4055,6907,4129.0,31560.0,63127,147.0,495,1084,31774,37938,1097.0,60345,5860,30553,4913,1165,3115,532,519,2669.0,5712.0,1672,42398,5408,4246.0,2998,22263,9178,3388,26311,751,11797.0,17847,3401,3206.0,158,9021,3501,1410.0,13678,1321,185.0,1762,1469.0,4090,7603,5414,516,47412,1633,10697,1793,1899,5398,692,8436,1671,4125,0.0,51.0,0,1539.0,1950,119.0,8289.0,1236,58.0,1282,1920,2194,7643.0,160.0,2999,1527.0,1954.0,0.0,582.0,1560.0,367.0,315.0,25.0,2078.0,8846.0,0,234.0,0.0,0,11888,0,6771.66666666667,327.0,66.0
CH,0,0.0,4058.0,263.0,14996,1661,442,12734,1138.0,26436,21639,6030,436,1661.0,874.0,4466,3915.0,1046.0,624.0,4949,31739,1690,7174,18663.0,356.0,0,7322,1331,4567,5578,9374.0,517,9814,36239.0,1189,21748,4636,117.0,658.0,956,1187,5871.0,1730,2323.0,1309.0,2361.0,1822.0,3720,3460.0,13490,1126.0,157.0,1842.0,3847.0,37484,11564,8979,24168,757.0,2264.0,1068.0,67778.0,10002.0,12951,523.0,5018.0,1616,3058.0,8994.0,16930,27558,1587,13413,21414,1380.0,1280.0,2250.0,492.0,6130.0,882.0,10535,2448,205,304,862.0,13858.0,4004,13233,2043,27436,1030.0,608.0,1481,2859,3023,2525,3539,103.0,1371,84323,14807,2944,1962,3420,110719,54350.0,49496,5198,62696,6253,2964,2926,7307,30513,61703,13970,29207,53942.0,4219.0,129945,16308,9442,7675,29240,20181,91125,259,5021,4634.0,36170.0,36832,455.0,815,4385,31841,62604,60.0,106691,22062,7722,15028,531,5117,493,1135,8247.0,21530.0,1301,71178,7255,1186.0,4493,7919,26525,16675,46247,25856,35230.0,98645,5469,16668.0,816,15922,3701,1063.0,4851,4303,986.0,3605,6441.0,89996,5510,9672,4047,18717,10171,52316,22999,2932,3617,4424,5761,1125,1605,28.0,0.0,0,689.0,2255,0.0,412.0,1776,741.0,6624,405,1648,1095.0,3.75,2185,4187.0,4075.0,0.0,542.0,10361.0,1057.0,291.0,100.0,601.0,35595.0,455,2118.0,34209.0,8727,3635,313,0.0,0.75,61.0
CY,0,0.0,0.0,0.0,1350,722,0,1934,278.0,5518,552,834,0,0.0,42.0,391,335.0,14.0,37.0,10,1753,0,580,0.0,0.0,0,0,89,176,214,0.0,0,0,1240.0,13,851,206,12.3333333333333,111.0,38,239,771.0,448,18.0,0.0,38.0,0.0,249,0.0,2244,29.0,0.0,21.0,0.0,215,103,458,0,0.0,0.0,0.0,0.0,0.0,165,0.0,0.0,90,145.0,0.0,0,339,61,0,72,0.0,60.5,82.0,26.0,0.0,0.0,856,364,6,0,30.25,177.0,130,1457,54,2130,0.0,0.0,376,386,388,95,395,0.0,1052,7002,674,272,162,1038,4651,1784.0,2755,1729,4121,1396,160,1220,351,5916,5454,892,1728,3578.0,970.0,12301,2006,1170,1469,4540,1458,10804,41,850,0.0,3221.0,1940,808.4,55,213,9764,17121,9.33333333333333,15232,1148,5265,723,526,344,13,195,542.0,2250.0,1094,2663,414,111.0,71,379,1434,4393,8117,1069,4205.0,2236,378,0.0,0,1272,381,381.0,474,239,136.0,306,264.0,677,1047,1534,109,1368,121,2019,417,516,85,221,621,181,313,0.0,0.0,0,0.0,333,0.0,16.0,540,19.3333333333333,345,191,701,13.5,20.0,0,0.0,0.0,0.0,0.0,61.0,0.0,50.0,0.0,38.0,0.0,0,0.0,647.0,773,178,100,0.0,0.0,0.0
CZ,0,0.0,5225.0,265.0,24795,3655,972,8918,3144.0,36259,17692,15301,2019,5797.0,1097.0,17160,23540.0,3440.0,2199.0,7892,46398,3375,16727,21344.0,2554.0,0,15718,764,2361,4682,5182.0,1109,1088,8288.0,21068,65511,24011,3330.0,3340.0,5719,1731,14866.0,2599,3246.0,18474.0,4823.0,3286.0,3892,14838.0,31431,10025.0,2259.0,4117.0,9547.0,49538,49858,32544,7842,6065.0,5788.0,3942.0,16213.0,418.0,50778,1259.0,15363.0,13428,6318.0,14107.0,30803,45399,7964,12287,31324,34846.0,3540.0,120740.0,297.0,8710.0,3113.2,26141,4597,1129,3106,6682.0,15423.0,9028,36929,13556,20700,1589.0,12248.0,18383,1258,24401,2842,5297,733.0,1786,97530,31444,25698,2674,49450,62264,58952.0,39485,22554,45922,14470,980,52867,6873,32478,51689,11837,26858,63889.0,29759.0,160486,15299,11605,5946,39395,16319,78763,3010,17844,10594.6666666667,37966.0,121099,2.0,0,11687,30564,29531,2645.0,109754,13695,6641,12030,3992,3153,1127,257,1094.0,5140.5,272,70507,11934,874.0,606,35292,24590,24537,48079,8999,18720.0,61043,14615,10978.0,57,25872,3179,3252.0,32704,3810,2092.0,4814,10651.0,72072,9674,11440,1019,42141,5214,34652,4411,6314,7466,1944,12418,7615,7484,0.0,0.0,0,780.0,5373,188.0,1989.0,2706,304.0,2397,6550,1835,3033.0,277.0,0,2988.0,10393.0,338.4,298.0,2446.0,22.0,163.0,642.0,0.0,0.0,0,320.0,36809.0,3087,12857,172,0.0,1622.0,134.0
DE,0,0.0,29068.0,4950.0,193967,33550,5922,45240,15777.0,362294,106141,68951,3437,9891.0,12708.0,51822,35985.0,6915.0,8925.0,24782,115916,40057,105183,141249.0,4678.0,0,177328,4427,42900,46028,53486.0,8024,5494,123051.0,79187,344092,60008,6662.0,14706.0,21386,11861,71564.0,25327,26371.0,78936.0,28787.0,20740.0,58889,78361.0,177015,23695.0,4540.0,12251.0,115322.0,273084,140158,132187,75982,21541.0,23884.0,11714.0,155383.0,22780.0,261004,9419.0,78556.0,34098,47579.0,53024.0,365698,308728,39634,115426,281600,532521.0,44056.0,274240.0,20914.0,75149.0,10395.0,142001,14084,7386,6923,13859.0,184522.0,32256,135655,93905,198711,14660.0,11298.0,35051,43515,67916,48162,31576,4274.0,24156,267717,100054,64789,37747,42299,772973,562515.0,329143,401664,283701,132358,21398,99737,65283,257656,473715,126923,292284,455685.0,93638.0,1095904,257119,82309,106973,419313,149541,1284196,23704,211157,27651.8,423307.0,427089,3048.0,13924,99375,593576,484472,7192.0,1136031,259428,224307,169219,17428,64296,8057,11955,30228.0,66263.0,25621,687992,55276,41897.0,21225,206045,180658,274875,403290,292051,242424.0,572606,95689,164866.0,9305,228490,21618,24324.0,76523,49133,33944.0,54732,36706.0,812080,163540,88617,11637,210537,122375,993521,169178,21145,128109,47787,345660,10847,30354,0.0,3927.0,0,7714.0,18894,0.0,0.0,51346,10540.0,48842,14200,29943,13290.0,4826.0,10333,27135.0,22124.0,4291.0,4296.0,58382.0,6302.0,3537.0,1661.0,0.0,19895.0,3240,5819.0,0.0,543485,20919,634,0.0,387.0,460.0
DK,0,0.0,864.0,461.0,17228,1890,553,0,1312.0,11180,6699,3820,33,135.0,187.0,3387,1421.8,150.0,35.0,1194,8278,279,5792,0.0,0.0,0,5520,0,1181,1829,6359.0,0,1767,29542.0,844,15095,1817,0.0,830.0,189,0,8567.0,373,4194.0,0.0,1389.0,0.0,1279,1939.0,11860,1165.0,1440.0,0.0,1169.0,12576,2920,9421,1518,752.0,1836.8,1674.0,9157.0,4423.0,6420,0.0,2861.0,1613,548.0,1712.0,31411,18857,3872,1215,13429,490.285714285714,1612.0,2342.28571428571,1447.0,592.0,712.0,11004,809,183,200,0.0,4640.0,1008,10650,1613,10830,950.0,2035.0,1086,2458,4482,2882,1881,92.0,1284,25906,5854,11414,1938,4643,53234,46765.0,24878,29005,15592,7675,593,6820,4772,24485,51523,16339,36436,40612.0,8796.0,76068,7125,5713,3037,22319,10103,48170,243,5413,0.0,27039.0,36145,5720.0,16522,2695,32639,16089,65.0,37974,12358,8929,16581,5558,6106,726,359,3186.0,9920.0,3886,58668,6870,862.0,949,18472,15653,11185,20576,16784,15318.0,48557,4944,14189.0,294,10608,1415,2018.0,7906,2967,1175.0,5298,1295.0,28452,2659,5239,869,3137,4860,34772,4470,6348,4746,1932,6467,1034,2956,1051.0,0.0,0,4211.0,3695,75.0,165.0,952,875.0,5297,1745,1688,2833.0,187.0,613,662.0,57.0,0.0,34.0,7150.0,1057.0,420.0,1587.0,0.0,6622.0,4,149.0,0.0,0,5092,0,0.0,81.0,8.57142857142857
EE,0,0.0,719.0,972.0,3013,781,74,2067,115.0,3154,2536,1554,195,59.0,196.75,4064,5677.0,476.0,675.0,5287,11897,486,944,2939.0,14.6666666666667,0,1346,0,727,299,161.75,0,0,319.0,704,3281,1173,0.0,0.0,126,0,2256.0,490,31.0,0.0,239.0,15.0,125,149.0,6707,346.75,0.0,0.0,335.0,2556,363,2602,2475,115.5,2489.5,116.0,494.0,381.25,3537,17.0,680.0,416,36.0,794.0,136,2006,652,160,975,72.0,747.666666666667,2557.0,753.5,0.0,0.0,7942,185,0,340,29.0,1003.75,665,4330,455,3082,334.0,1533.0,1146,197,1181,397,345,23.0,324,14095,3954,3700,877,1666,9304,4813.0,5463,4095,4722,2970,168,862,667,5894,5792,1101,4250,8445.0,2715.0,21614,1220,2143,939,6064,2197,11786,1107,2594,1256.0,3916.0,16047,707.0,138,2005,10950,6056,14.0,14181,1721,1053,2725,108,1440,108,180,165.0,2179.0,434,9832,1686,549.0,763,6270,3424,1735,5681,1232,3952.0,5249,1278,948.0,83,2771,736,373.0,1429,356,285.0,1855,314.0,5593,2412,1193,439,6152,485,9137,1005,569,1562,261,1882,354,608,3043.0,0.0,0,1895.0,203,28.0,426.0,879,3.66666666666667,921,840,737,575.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,1679.0,441.0,0,0.0,0.0,0,3023,0,0.0,41.0,0.0
EL,0,316.0,2899.0,595.5,9017,13326,5302,10119,3227.0,44174,11200,9001,1126,257.0,936.0,5047,11192.0,1136.0,1565.0,960,4907,817,6611,8628.0,468.0,12,2476,606,1922,4336,1477.0,24,962,8077.0,701,10553,1235,225.0,558.0,766,1876,4954.0,3983,1427.0,2104.0,759.0,314.0,4484,724.0,15086,685.0,101.0,609.0,480.0,2533,2328,5148,539,200.0,463.0,55.0,1302.0,97.0,1484,601.0,1090.0,1314,1623.0,591.0,828,4199,1156,1331,2232,432.0,574.0,792.0,1610.0,1455.0,227.0,9802,3320,122,313,191.0,3398.0,1169,11935,1575,24566,616.0,582.0,9049,1203,2494,1528,1946,212.0,492,35965,14646,5249,8711,10047,28624,16615.0,11722,10813,25456,14889,4519,17235,6014,56009,58821,8243,20314,37687.0,2161.0,111172,47531,14220,9798,43055,18194,117827,9300,6455,34.0,64618.0,30166,7467.0,9028,2778,41808,84265,748.0,172589,9166,125569,10874,1223,5338,509,2012,5475.0,10705.0,4039,22167,4524,2686.0,2096,4479,6076,48107,37152,721,30557.0,65477,4192,15253.0,7075,11029,2856,3902.0,4387,2136,3369.0,3272,2431.0,7892,1183,14443,530,21076,601,32132,1866,3448,4189,3003,4689,1756,7731,76.0,0.0,9,1333.0,1784,2405.0,551.0,30106,2350.0,937,1836,4173,809.0,234.0,1927,124.0,9.0,0.0,0.0,3137.0,332.0,101.0,276.0,3576.0,0.0,276,0.0,7791.5,7372,8004,235,1451.0,61.0,22.0
