geo,B051,B052,B081,B089,C101,C103,C104,C105,C106,C107,C108,C110,C131,C132,C133,C139,C141,C151,C152,C161,C162,C171,C172,C181,C182,C191,C201,C202,C203,C204,C205,C206,C211,C212,C221,C222,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C243,C244,C245,C251,C252,C253,C254,C255,C256,C257,C259,C261,C262,C263,C264,C265,C266,C271,C272,C273,C274,C275,C279,C281,C282,C283,C284,C289,C291,C292,C293,C301,C303,C309,C310,C321,C322,C323,C324,C325,C329,C331,C332,D351,D352,D353,E360,E370,E381,E382,E383,E390,F411,F412,F421,F422,F429,F431,F432,F433,F439,G451,G452,G453,G454,G461,G462,G463,G464,G465,G466,G467,G469,G471,G472,G473,G474,G475,G476,G477,G478,G479,H492,H493,H494,H501,H502,H521,H522,I551,I559,I561,I562,I563,J581,J582,J591,J592,J601,J602,J611,J619,J620,J631,J639,L681,L682,L683,M691,M692,M701,M702,M711,M712,M721,M722,M731,M732,M742,M749,M750,N772,N773,N781,N782,N783,N791,N799,N801,N811,N812,N813,N821,N822,N823,N829,S951,S952,B061,B062,B071,C102,C109,C142,C143,I552,I553,M741,M743,N771,N802,N803,C120,C267,C302,C304,H504,H511,H512,N774,B091,C192,H491,H495,H503,H531,H532,J612,J613,B072,B099,C268
AT,0,0,4016,670.0,16876,3508,669,4921,2340.0,30737.0,7329,8978,1045,2235.0,945.0,5015,6151,2564,1340,11116,22986,7194,9485,12408,1509,0,6677,292.0,2990.0,2696,2570.0,2343,3459,8055.0,2460,26224,9842,1496,976,1490,1258,11190.0,3345.0,3123,14446,3304.0,2708,6849.0,6282,22648,3357,303.0,932.0,6296.0,12708,17907.0,7554,7826,855.0,1858.0,776.0,5256,2085.0,24729,618.0,3344.0,4127.0,4555,7987,13517.0,22775,6013,5882.0,24713,13656.0,3902,12831.0,200.0,717.0,1787.0,29830,1761,816,3512,2077,8609,1634,12667,11112,22647.0,3078,3038.0,2360.0,3254.0,8752,2289,2111,105.0,2939.0,55620,22571,13447,1443,9204,78833.0,58563.0,36168,37772.0,26957.0,12300.0,2082,15656,16532,27488.0,43931.0,8677.0,35654,46940.0,4479,101952.0,23175.0,11378.0,11562.0,56493.0,21031,115329,1997.0,7537.0,8705,54713.0,58700.0,0.0,0.0,1358.0,47555.0,97686.0,1222,141065.0,11001.0,11791.0,10240.0,1887.0,5821.0,1067,455.0,4565.0,2343,858,40536.0,15871,1286,1902,26781.0,17553.0,24095,33872.0,21402,25534.0,52400,5026,8352,633,25427,2192,3446.0,4129,4778,3484,4197.0,1369,73050,4938,10042.0,1363.0,12315,9924.0,58044,6181.0,2462.0,4543.0,2100,6114,996,3063,0,0,0,139,2044,103,1302.0,6247,955,2318,1485,2394.0,54,661,0,901,0.0,0.0,148,7667.0,26,753.0,23.0,1207,3422,428,379,0.0,0.0,13602,21.0,0.0,20.0,0.0
BE,0,0,2689,122.333333333333,14358,7420,1254,7509,2800.0,31671.0,16450,10454,1332,4262.0,1232.0,14885,4159,989,265,1734,10809,3578,9399,18816,136,0,27654,1183.0,4074.0,5185,7094.0,879,533,20920.0,2392,22932,8819,765,1788,425,2228,12370.0,3213.0,1366,15930,1212.0,3824,8781.0,2195,24370,3119,4234.0,1785.5,2567.0,17011,2852.0,6053,3375,1150.0,1378.0,0.0,2773,494.5,5698,1277.0,2367.0,5134.0,1590,2544,8150.0,11701,4576,1350.0,11073,18866.0,5245,12705.0,93.0,4970.0,382.0,14414,1616,164,100,666,5043,1388,9495,5142,17312.0,1264,33.0,8046.0,2134.0,4548,6391,4294,874.0,9652.0,71743,16678,9354,4047,12029,74820.0,66768.0,47611,43067.0,23198.0,12665.0,1663,16047,7380,37313.0,64458.0,14368.0,41124,51855.0,6613,94890.0,33277.0,5497.0,11209.0,43203.0,17195,105128,4979.0,4793.0,1105,18045.0,63127.0,248.125,1103.0,14510.0,76158.0,17106.0,137,101789.0,21178.0,27201.0,12152.0,367.0,6692.5,1133,331.0,1671.0,21127,5333,65369.0,3070,1818,4347,33931.0,24853.0,22689,30445.0,25756,64032.0,46357,8695,7950,314,15427,5700,3382.0,3246,4737,3774,7249.0,21623,128001,16363,8204.5,910.0,14921,0.0,90319,17395.0,6975.0,5335.0,4024,9749,1166,3845,0,0,0,876,3276,81,309.0,3836,690,4775,3178,3486.0,1777,94,1524,237,766.0,0.0,687,4333.0,1199,271.5,10.0,4060,35537,36,194,0.0,0.0,3874,63.0,0.0,69.0,8.0
BG,190,13111,4004,352.0,17717,8013,2586,9321,2710.0,30801.0,10390,14655,4131,1827.0,478.0,5395,98203,2115,16038,6408,9761,1742,7348,9520,106,0,4598,238.0,1675.0,4486,2031.0,528,12,6549.66666666667,3176,20787,3962,456,2365,1697,1797,7171.0,1814.0,2807,1453,900.0,428,5120.0,4351,12004,1753,145.0,13907.0,625.0,12005,2952.0,11239,3236,359.0,1255.0,346.0,2282,187.0,6900,1441.0,4057.0,901.0,3568,1736,10472.0,10614,1223,2077.0,5528,0.0,276,12537.0,831.0,16.0,1533.0,22119,905,180,1547,1540,2213,2316,16239,1537,28460.0,829,3763.0,17605.0,291.0,11199,2087,2708,715.0,1192.0,68379,21216,9941,11274,3353,19022.0,14267.0,12856,9811.0,17330.0,18424.0,378,5244,7645,45009.0,30286.0,4971.0,12259,45790.0,13281,112475.0,25468.0,15849.0,9220.0,32139.0,12176,88357,4978.0,4914.0,4129,34178.0,48753.0,80.0,569.0,916.0,32289.0,36672.0,1385,57575.0,6397.0,39868.0,6084.0,1018.0,2816.0,475,579.0,3007.0,10128,1672,28152.0,3915,2124,4411,22044.0,9118.0,2948,23007.0,780,9780.0,19117,3214,1553,98,10341,2085,1475.0,11652,1146,169,1555.0,2728,1434,4252,5536.0,526.0,48572,871.0,8216,1988.0,1403.0,3216.0,810,5575,1420,4338,0,53,0,1353,1760,103,10402.0,579,48,1013,1683,1745.0,6762,140,3696,1061,2135.0,0.0,979,2079.0,420,70.0,20.5,2357,8846,0,0,0.0,0.0,7633,0.0,6608.0,149.0,34.0
CH,0,0,3822,253.0,11972,1004,490,9673,1446.0,11811.0,17078,7725,769,1696.0,1290.0,5198,4373,1086,769,3685,31469,2199,9668,23935,185,0,8684,1326.0,4477.0,6097,10328.0,431,6910,32065.0,1269,23364,5023,152,618,1493,1289,6907.0,1782.0,2135,1235,2511.0,1427,4613.0,5311,13357,1712,0.0,1979.0,4293.0,43892,13688.0,9840,24464,1568.0,4807.0,601.0,62880,14201.0,14390,870.0,5862.0,2412.0,4535,10532,13523.0,29785,1691,14540.0,26256,2033.0,1288,2305.0,483.0,6162.0,1025.0,12777,3506,149,529,259,10486,5088,13915,2704,26980.0,956,253.5,1017.0,2605.0,2664,1806,3955,114.0,1541.0,79067,19836,3096,1837,4899,86776.0,56807.0,52207,3390.0,62542.0,7437.0,2919,1229,7771,28645.0,53136.0,14358.0,34341,51717.0,7366,126464.0,31103.0,11546.0,15236.0,30619.0,21798,85174,222.0,4702.0,6577,36352.0,31247.0,179.0,602.0,3714.0,32243.0,69646.0,0,113680.0,19172.0,6218.0,13900.0,285.0,4525.0,697,867.0,6266.0,19209,1071,62309.0,5299,1286,1756,2362.0,19607.0,17071,41029.0,17621,27588.0,85911,3519,15806,873,15415,3522,990.0,3149,3888,1187,2953.0,3660,8076,188,10106.0,4025.0,16070,9867.0,58736,16509.0,2812.0,2604.0,4545,6524,921,1605,28,0,0,390,2853,9,366.0,1657,1505,5367,1200,1330.0,1015,57,2822,5473,3546.0,0.0,527,11214.0,779,180.0,74.0,643,31679,55,1320,33559.0,14922.0,1492,323.0,0.0,0.0,0.0
CY,0,0,0,0.0,1379,770,0,1580,298.0,5978.0,645,1689,0,0.0,51.0,435,648,19,54,23,2973,0,614,0,0,0,0,78.0,301.0,326,0.0,0,0,1169.0,14,1187,279,17,181,40,239,1476.0,722.0,64,0,48.0,0,267.0,0,3119,35,0.0,30.0,0.0,267,102.0,638,0,0.0,0.0,0.0,0,0.0,221,0.0,0.0,90.0,233,0,0.0,430,65,0.0,113,0.0,87,109.0,42.0,0.0,0.0,1300,393,5,0,7,200,161,514,88,2452.0,0,0.0,405.0,430.0,365,71,377,0.0,2217.0,13721,1410,490,592,1566,6910.0,2690.0,3716,1972.0,4021.0,1305.0,202,1258,379,5862.0,5683.0,897.0,1653,3693.0,835,14066.0,2010.0,1239.0,1649.0,6246.0,1804,10381,44.0,804.0,0,3126.0,2570.0,3070.0,67.0,173.0,8520.0,16960.0,0,15642.0,1353.0,5241.0,1071.0,311.0,347.0,34,310.0,923.0,2889,949,2041.0,212,170,107,320.0,1469.0,3676,7420.0,621,3357.0,2972,416,0,0,1322,503,383.0,544,194,157,246.0,256,836,926,2016.0,117.0,1142,11.5,1678,237.5,344.0,16.0,260,375,110,364,0,0,0,0,351,0,28.0,494,20,450,73,689.0,0,12,0,0,0.0,0.0,0,1224.0,0,5.0,0.0,38,0,0,0,732.0,726.0,164,56.0,0.0,0.0,0.0
CZ,0,0,5716,535.0,23950,3172,805,8980,3039.0,36701.0,17236,15106,2320,6351.0,1051.0,16803,23494,3647,3130,9712,50705,3881,15274,21344,2554,0,14782,892.0,2708.0,4981,4743.0,909,1382,8530.0,19746,61747,21718,3236,3576,5660,1957,14361.0,2687.0,3233,19492,4541.0,3714,3326.0,16491,28991,9667,2949.0,3387.0,9283.0,42779,44788.0,29939,8800,6630.0,5666.0,8143.0,6798,370.0,52786,1308.0,13196.0,7893.0,6403,15740,28559.0,42096,7090,11224.0,30372,34232.0,3550,109770.0,426.0,6563.0,2638.0,28497,4668,1141,3075,6035,14858,9349,36929,13556,16382.0,2537,13192.0,18343.0,1544.0,22757,3329,5930,668.0,1774.0,111695,33965,27252,3962,43824,71258.0,65054.0,40501,23189.0,46045.0,14698.0,1018,39217,7161,32360.0,50103.0,11073.0,23413,60323.0,32281,162618.0,17182.0,12142.0,6617.0,44727.0,17625,81758,3681.0,16207.0,12161,38603.0,117068.0,2.0,0.0,10615.0,27658.0,27922.0,3605,114938.0,13502.0,4755.0,14097.0,3024.0,3290.0,1164,227.0,1123.0,10607,394,59335.0,10869,997,583,29448.0,27597.0,23112,45416.0,5965,19992.0,60670,12273,7672,40,26722,3309,2971.0,22813,3278,2145,4836.0,4278,47341,7013,10738.0,1306.0,42725,2667.0,34961,3563.0,5997.0,5745.0,2147,11355,6974,7090,0,0,0,853,5394,228,2490.0,1983,334,2065,6820,1708.0,3270,357,0,3478,10234.0,0.0,362,3227.0,28,168.0,466.0,0,0,0,320,39342.0,4775.0,8499,330.0,0.0,1818.0,180.0
DE,0,0,27117,5238.0,202140,31753,4926,40122,15920.0,396801.0,101513,70492,4811,11456.0,13186.0,52329,39213,7549,10491,25068,112096,40676,101837,165516,5057,0,183004,7212.0,41945.0,43027,52580.0,8325,5372,112078.0,75396,327272,58981,6916,15316,21264,11995,69881.0,30437.0,22923,79882,28872.0,19465,56543.0,79191,182185,22768,4164.0,11447.0,110163.0,250710,141613.0,134024,78079,20814.0,23435.0,13940.0,139773,10087.0,270665,7193.0,80136.0,38022.0,50887,55643,346896.0,296069,32811,109654.0,271325,479233.0,42391,262867.0,19533.0,69480.0,10395.0,141984,14021,7645,6579,12948,191258,30988,136307,92049,193770.5,16468,11569.0,35913.5,40379.5,57285,36490,23985,2811.5,16777.0,253119,100979,65936,25085,31549,609248.0,432646.0,265980,407546.0,270548.0,136102.0,18936,94298,63748,268184.0,533643.0,137139.0,266034,500896.0,102164,1101868.0,243127.0,89909.0,123046.0,437280.0,160150,1102108,21917.0,145142.0,27617,336086.0,386837.0,2401.0,26331.0,51645.0,537486.0,451634.0,6814,1030386.0,209411.0,224580.0,207915.0,12281.0,54152.0,6924,11601.0,20937.0,63985,25366,526521.0,47820,38654,16173,312389.0,147755.0,246671,360826.0,184018,188826.0,470277,78006,127462,6363,234896,18490,21108.0,59675,40087,28601,45340.0,26998,800168,147598,80628.0,5899.0,161262,77523.0,899371,135368.0,19818.0,113815.0,39127,272023,9189,27376,0,3750,0,7635,16214,0,0.0,46276,9856,33340,11467,24757.0,10677,3110,10576,24411,19400.0,4291.0,4317,55357.0,6451,2580.0,1661.0,0,45113,2975,3973,0.0,495934.0,28630,777.0,0.0,387.0,775.0
DK,0,0,924,484.0,18581,2376,867,0,977.333333333333,10999.0,7220,4891,33,145.0,360.0,3476,1437,86,62,939,9405,633,5768,0,0,0,5284,0.0,876.0,1593,5233.0,0,1144,23740.0,882,17000,2062,0,635,235,0,7585.0,566.0,4233,0,1367.0,0,1346.0,1139,11299,1134,1440.0,0.0,797.0,11250,3134.0,10591,2516,760.0,2177.0,1938.0,8825,4984.0,6664,5.0,2458.0,1846.0,806,1737,36289.0,18049,3707,1224.0,12829,366.857142857143,1595,2686.85714285714,2170.0,219.0,621.0,11377,911,200,200,0,4892,1165,9366,1582,9135.0,577,1412.0,2535.0,2179.0,3086,1889,1532,53.0,1064.0,28212,5719,8115,1786,3866,51241.0,44179.0,20846,29408.0,15401.0,8026.0,603,6010,6387,22817.0,49045.0,18402.0,36143,41263.0,7633,75407.0,7542.0,5892.0,4235.0,22696.0,11068,49988,213.0,3271.0,0,24208.0,33177.0,5055.0,14285.0,2442.0,26385.0,14881.0,36,30063.0,10375.0,7553.0,17900.0,4579.0,5388.0,679,280.0,5061.0,11251,4720,57014.0,5092,727,708,20060.0,14809.0,12233,20781.0,11555,14065.0,42158,4280,11206,704,11047,1655,1956.0,6323,2761,1619,4659.0,1864,19842,1469,5537.0,779.0,2716,2886.0,33578,3712.0,4915.0,3316.0,1591,4904,941,3160,852,0,0,4124,4044,43,221.0,990,865,4625,1596,1373.0,2761,217,639,690,57.0,0.0,38,7150.0,1057,376.0,3529.0,0,6846,4,155,0.0,0.0,5092,0.0,0.0,82.0,20.0
EE,0,0,725,1061.0,2817,660,74,2272,115.0,2883.0,1722,1341,192,21.0,168.0,3505,6130,551,812,4364,9977,519,830,2775,44,0,1320,0.0,702.0,170,210.0,0,0,319.0,770,3104,1004,0,0,76,0,1938.0,345.0,29,0,208.0,14,123.4,202,6691,390,0.0,0.0,322.0,2286,290.0,1551,2444,120.0,2339.5,85.0,628,211.0,3462,17.0,424.0,333.0,36,512,111.2,1665,624,117.6,874,72.0,660,2910.0,650.0,0.0,0.0,7426,185,0,313,29,1021,598,3561,468,3548.0,311,1812.0,1244.0,177.0,1166,295,496,32.0,403.0,15508,3728,3902,1231,1397,8840.0,3293.0,3635,3570.0,3371.0,2868.0,164,2329,467,4691.0,5182.0,1201.0,3784,7623.0,2222,19366.0,1107.0,2061.0,773.0,5769.0,2672,10086,614.0,1686.0,1238,5526.0,13681.0,674.0,138.0,2150.0,8977.0,5262.0,14,10485.0,1750.0,860.0,2845.0,77.0,1376.0,154,138.0,136.0,2238,464,7205.0,1317,420,719,6419.0,3366.0,1541,4368.0,1189,3676.0,5209,1139,902,87,2644,766,360.0,866,225,250,1329.0,211,5818,2515,1304.5,209.5,5705,564.0,7313,833.0,323.0,1559.0,221,2322,302,552,3075,0,0,1916,160,9,519.0,629,3,497,715,605.0,575,0,0,26,0.0,0.0,0,0.0,0,32.0,0.0,1483,453,0,0,0.0,0.0,1369,0.0,0.0,36.0,0.0
EL,0,337,4425,458.0,7638,10259,4943,10309,2691.0,30517.0,9938,9997,2040,1148.0,1194.0,5120,17587,591,2009,1545,10836,1488,5972,11208,482,64,2787,471.0,2703.0,3752,1702.0,40,455,5850.0,2280,11341,1429,198,1394,1048,2852,8305.0,4635.0,802,3161,1235.0,5872,4808.0,951,18579,989,164.0,1295.0,1878.0,3812,4122.0,7206,562,92.0,382.0,164.0,1517,268.0,1839,585.0,1358.0,1541.0,1922,1210,684.0,10656,976,1533.0,2397,487.0,868,1483.0,2513.0,1873.0,272.0,17034,5342,135,334,121,1450,1564,9512,455,20899.0,614,617.0,9028.0,1139.0,132,419,218,185.0,3890.0,84715,13515,8650,3583,12944,40776.0,31866.0,16063,25953.0,36728.0,17153.0,4832,31316,9320,66230.0,89611.0,10206.0,33653,59164.0,9655,120240.0,66359.0,18125.0,9108.0,84143.0,22393,127261,13151.0,14657.0,34,71302.5,40428.5,10803.0,4538.0,3900.0,34849.0,56136.5,29,112336.0,5652.0,78672.0,18216.0,5124.0,4657.0,358,4306.0,3876.0,13894,1214,15100.0,2917,393,1248,2003.0,6495.0,16597,44961.0,0,34110.0,60503,4449,9382,1158,13377,4085,5498.0,13488,1477,5551,4639.0,658,3301,97,13772.0,45.0,40470,39.0,34769,1649.0,5312.0,5853.0,3056,2212,1360,8908,76,0,0,2010,1629,2990,890.0,13858,927,2483,2312,4183.0,1560,2640,1602,70,9.0,0.0,0,3392.0,100,17.0,256.0,4217,0,277,0,10168.0,3916.0,7001,106.0,1630.0,20.75,1.0
