geo,B051,B052,B081,B089,C101,C103,C104,C105,C106,C107,C108,C110,C131,C132,C133,C139,C141,C151,C152,C161,C162,C171,C172,C181,C182,C191,C201,C202,C203,C204,C205,C206,C211,C212,C221,C222,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C243,C244,C245,C251,C252,C253,C254,C255,C256,C257,C259,C261,C262,C263,C264,C265,C266,C271,C272,C273,C274,C275,C279,C281,C282,C283,C284,C289,C291,C292,C293,C301,C303,C309,C310,C321,C322,C323,C324,C325,C329,C331,C332,D351,D352,D353,E360,E370,E381,E382,E383,E390,F411,F412,F421,F422,F429,F431,F432,F433,F439,G451,G452,G453,G454,G461,G462,G463,G464,G465,G466,G467,G469,G471,G472,G473,G474,G475,G476,G477,G478,G479,H492,H493,H494,H501,H502,H521,H522,I551,I559,I561,I562,I563,J581,J582,J591,J592,J601,J602,J611,J619,J620,J631,J639,L681,L682,L683,M691,M692,M701,M702,M711,M712,M721,M722,M731,M732,M742,M749,M750,N772,N773,N781,N782,N783,N791,N799,N801,N811,N812,N813,N821,N822,N823,N829,S951,S952,B061,B062,B071,C102,C109,C142,C143,I552,I553,M741,M743,N771,N802,N803,C120,C267,C302,C304,H504,H511,H512,N774,B091,C192,H491,H495,H503,H531,H532,J612,J613,B072,B099,C268
AT,0,0.0,4212.0,675.0,18291,3841,950,5501,2560.0,32071,9729,9248.0,686,1748,593.0,5106,4820,2539.0,1421,10645,22407,6929.0,9746.0,11037.0,833.0,0,6822,376.0,2746,2661,2616.0,2791.0,4894,9797.0,1992,27926,8466,1416.0,906,1496,1132,10980.0,3430,3064.0,14812.0,3477.0,3229,8012,6760.0,23055,3411.0,324.0,1504,6830,14201,18745,7998,9206,905.0,2027.0,364.0,6257,2485.0,24062,851.0,3648.0,5326,3887,7871.0,13780,26549,6130.0,6823,27563,13227.0,4121.0,14660.0,264.0,1211,2907.0,26945,1718,859.0,2988,1848.0,8679.0,1608,13658,11114,25491,1600.0,2249.0,1722,3611,10442,2641,2494,115,3816,61806,19486,8209,1570,10834,85487,62588.0,38563,39299,27369,12124,2219,17517,16827,30877,44480,8878.0,37428,47036,4593,114241,22729,11589,11049,56813,22451,118502,2266.0,8865,7553.0,57444.0,61858,0.0,0.0,2112,34680,104482,1049.0,162686,11632,13241,11040,3268.0,6922,1176,598.0,974,2391.0,942,52499.0,17506,1704,2717,25215.0,21202,26557,37464,25908,29177,61246,4958,9334,601.0,29097,2049.0,3712.0,5165,5521,3747.0,4719,1932.0,64877.0,17431.0,10294,1348.0,14523,15147,67286,7652.0,1909,5526,3314,8479,985,2873,0,0.0,0,153,2247.0,88.3333333333333,924.333333333333,7564,1081.0,2745,1760.0,2719,174,749.0,0,1129.0,0.0,0.0,81,7630.0,68,410.5,106.0,1217.0,3179,445,451,0.0,0,13602.0,21,0.0,41.0,0.0
BE,0,0.0,2457.0,170.0,14977,9509,1616,6897,3290.0,27607,18057,10113.0,699,2908,893.0,12098,3207,465.0,155,1586,9651,2818.0,8137.0,16091.5,97.5,0,26297,1276.0,4190,4745,5807.0,697.0,604,23983.0,2193,21941,7562,422.0,1888,525,3660,10498.0,2766,1238.0,11605.0,721.0,2676,7841,2369.0,23936,2102.0,1566.0,2168,2890,15084,2248,5186,2415,983.0,1381.0,0.0,3176,862.0,3106,973.0,3664.0,3174,1136,2334.0,7332,9171,5375.0,1287,8341,15408.0,4511.0,8272.0,109.0,5583,415.0,12255,1460,161.5,37,602.0,5554.5,1021,11275,8780,18003,353.0,38.0,5875,2288,4534,3991,4043,1376,9455,73227,14731,10085,4327,12734,80862,67122.0,45759,42811,20718,13073,1969,16537,5939,35258,57657,9460.0,40664,48313,5048,104867,31936,4891,8824,42742,13431,104244,5684.0,4737,1146.0,18779.0,59758,143.75,912.0,18826,37299,17350,45.0,105745,20072,25793,10265,955.0,7002,969,285.0,1439,17379.0,3926,75555.0,4879,1956,6529,41418.0,27753,37101,32183,51194,85737,51805,9614,10806,755.0,15521,5087.0,4065.0,1923,4972,3826.0,9319,18826.0,151315.0,19823.0,7580,668.0,17356,1582,119166,20321.5,9903,5611,4644,13022,1314,3433,0,0.0,0,1315,3270.0,41.0,109.0,5645,786.0,5116,3483.0,3831,1489,118.0,1326,233.0,625.5,0.0,702,5135.0,749,2633.0,10.0,4650.0,32940,960,169,0.0,0,3746.0,67,0.0,20.0,8.0
BG,29,11303.0,4667.0,455.571428571429,16347,7437,2479,8358,3570.0,29638,10485,13080.0,4237,974,415.0,7539,88537,2517.0,11562,6580,10080,1758.0,8551.0,9409.0,67.0,0,4473,353.0,1620,5281,1976.0,561.0,12,8197.0,5537,24351,5152,441.0,2201,1841,1602,6577.0,1982,2342.0,1692.0,1709.0,771,4879,3702.0,11722,2229.0,133.0,17448,327,12008,2901,12014,3294,344.5,1184.0,587.0,1999,397.0,8950,1070.0,3783.0,1212,4450,4022.0,11559,11752,1049.0,1836,5993,0.0,274.6,21783.0,514.0,48,2336.0,22687,961,171.0,1762,2663.0,2386.0,2449,16293,1975,27909,1017.0,3211.0,16987,329,9922,3505,1657,1018,1088,56349,17789,7799,11673,3997,15645,15759.0,12564,10666,19492,18450,363,5733,8523,42708,31404,4221.0,12602,36807,15780,114012,25535,14513,7607,29747,9904,88481,4041.0,8566,4129.0,32048.0,69085,169.0,522.0,1081,32015,39684,1149.0,64045,6350,30183,5035,1130.0,4217,491,432.0,2381,4930.0,1672,48636.0,6877,4114,2943,24112.0,9711,3701,28156,809,12832,18310,3562,3098,130.0,10098,3544.0,1540.0,15450,1450,208.0,2006,1690.0,3923.0,8704.0,5695,529.0,48323,2052,11258,1893.0,2073,6465,753,9149,1830,4203,0,51.0,0,1644,2156.0,154.0,7158.0,1304,70.0,1499,2060.0,2357,7579,156.0,2393,1673.0,2028.0,0.0,613,1698.0,378,386.0,24.0,1989.0,8846,0,329,0.0,0,12675.0,0,6775.0,332.0,61.0
CH,0,0.0,4002.0,258.0,14456,2081,538,14093,1315.0,28764,20228,6120.0,375,1624,859.0,4148,3655,897.0,754,4366,31662,1739.0,6469.0,17442.0,233.0,0,7250,1468.0,4545,6837,8483.0,531.0,9506,35956.0,1333,21227,4401,88.0,460,1042,1107,5891.0,1871,2604.0,1163.0,2382.0,1516,3294,3742.0,15306,1302.0,314.0,1954,3912,36060,10549,7963,24206,530.0,2579.0,729.0,66046,11262.0,11986,514.0,4820.0,1543,4551,8562.0,15670,25672,1065.0,14497,21611,1326.0,1074.0,2381.0,531.0,5954,999.0,9175,2715,148.0,541,403.0,13967.0,4290,12951,2005,27538,1115.0,601.0,1691,3014,3015,3295,3324,88,1412,81456,15255,4270,2410,2179,106067,63236.0,46036,6172,57093,8559,2578,1021,6037,31345,61217,14764.0,30047,52924,4611,132603,13281,10234,12049,28494,21161,84336,254.0,5178,4292.0,36686.0,34432,393.0,896.0,4220,32757,63221,94.0,109029,18637,7791,14351,170.0,5142,510,1072.0,7987,22427.0,1885,74252.0,7998,1330,4396,7723.0,26543,14985,47589,25509,37146,98603,3623,15816,641.0,16691,3402.0,847.0,4532,4385,1242.0,4026,6159.0,93763.0,5858.0,9423,4841.0,20432,10447,53873,24098.0,2026,3586,4251,5100,813,1749,28,0.0,0,420,1582.0,0.0,253.0,2516,250.0,7604,467.0,1631,1377,7.5,2215,4460.0,4150.0,0.0,539,10736.0,1142,666.0,83.0,623.0,36497,427,2110,35241.0,10965,3574.0,319,0.0,1.5,61.0
CY,0,0.0,0.0,0.0,1450,740,0,2023,287.0,5660,604,886.0,0,0,44.0,404,335,13.0,39,10,1816,0.0,580.0,0.0,0.0,0,0,78.0,192,225,0.0,0.0,0,1240.0,10,888,235,11.1666666666667,103,39,239,811.0,466,16.0,0.0,36.0,0,304,0.0,2285,37.0,0.0,21,0,213,62,549,0,0.0,0.0,0.0,0,0.0,173,0.0,0.0,90,141,0.0,0,353,68.0,0,62,0.0,62.75,87.0,26.0,0,0.0,889,377,6.0,0,41.5,178.0,121,1814,89,2102,0.0,0.0,368,400,379,95,418,0,1076,7838,798,292,150,1050,5106,1976.0,3078,1788,4274,1517,190,1231,407,6139,5506,906.0,1738,3775,1084,12777,2225,1384,1515,4567,1480,11128,52.0,941,0.0,3260.0,1891,243.0,52.0,268,9951,18594,9.66666666666667,16700,1154,5947,723,576.0,439,11,202.0,618,2249.0,1105,3228.0,432,120,84,400.0,1538,4574,8514,1245,4414,2468,472,0,0.0,1369,369.0,409.0,569,276,125.0,347,283.0,512.0,1209.0,1664,126.0,1495,114,2188,468.0,608,113,234,762,212,336,0,0.0,0,0,354.0,0.0,20.0,553,20.6666666666667,379,215.0,767,27,11.0,0,0.0,0.0,0.0,0,224.5,0,98.0,0.0,38.0,0,0,0,649.0,908,174.0,105,0.0,0.0,0.0
CZ,0,0.0,5268.0,237.0,24580,3662,979,9134,3236.0,35665,17655,15779.0,2005,5728,603.0,18024,24066,3645.0,2131,7884,46599,3449.0,17166.0,21344.0,2554.0,0,16154,706.0,2441,4718,5378.0,946.0,1315,8584.0,21985,68648,24527,3126.0,3436,5733,1727,14302.0,2563,3367.0,17860.0,4648.0,3483,4140,15151.0,32009,9841.0,2156.0,4308,9689,51612,49863,33149,8125,6189.0,6492.0,4025.0,17780,398.0,50575,1322.0,10266.0,14434,6551,20421.0,29868,46296,8314.0,12114,31484,36124.0,3596.0,128748.0,306.0,8979,3305.8,25986,4635,1127.0,3168,7278.0,15775.0,8990,38119,14064,21208,1829.0,11762.0,18529,1416,25039,2923,5164,712,1876,94882,32163,24300,2372,51276,61512,59085.0,39827,23216,47303,15016,1036,50396,6930,32283,52499,11211.0,27778,64233,27241,159366,15956,11593,5812,40097,16642,78841,2817.0,18050,10476.3333333333,38338.0,125438,2.0,0.0,12741,33122,30283,2628.0,113041,14317,7135,12066,4234.0,3300,1126,238.0,1092,5775.0,579,75495.0,12917,1050,571,35096.0,24223,24618,50103,9145,19293,62212,15098,11442,44.0,27358,3359.0,3272.0,35842,3938,2362.0,5247,14493.0,79087.0,9366.0,11267,1328.0,41094,5560,34797,4236.0,7223,7960,2052,13300,7815,7707,0,0.0,0,769,5342.0,175.0,1981.0,2865,311.0,2537,6628.0,1959,2916,252.0,0,2940.0,10356.0,507.6,285,2446.0,22,327.0,642.0,0.0,0,0,320,36334.0,3638,12507.0,265,0.0,1622.0,120.0
DE,0,0.0,27775.0,4847.0,188199,35040,5491,44727,16496.0,394767,111906,70107.0,3471,10230,10616.0,52198,36043,7999.0,9190,25222,106637,39963.0,104058.0,143603.0,2710.0,0,173684,4149.0,43137,50764,59279.0,8820.0,5836,125066.0,80047,350075,60014,6286.0,14670,20803,13903,69304.0,30040,27267.0,77537.0,28292.0,19545,61366,77766.0,194366,22111.0,4254.0,12691,118192,272425,142659,132507,77258,20260.0,23545.0,12567.3333333333,168256,23511.0,257695,8467.0,81703.0,38096,48276,53717.0,364125,319234,40170.0,115245,279420,536531.0,43717.0,273610.0,20169.0,70352,10395.0,147008,15761,7280.0,7405,14383.0,174705.0,30255,142111,93776,201684,15025.0,11134.0,36334,42915,70642,50475,32303,4454,25577,274800,105662,65594,47150,41546,806841,581760.0,323697,418763,291217,132452,20378,83351,62920,280800,461237,134057.0,306449,446055,92076,1081642,310643,57612,106724,425473,147494,1189405,25127.0,221918,27396.2,448828.0,433544,3466.0,17869.0,113129,640302,503432,6835.0,1216356,279853,228350,163281,20064.0,65864,8581,9442.0,34303,66284.0,29750,715431.0,67137,41228,23038,250523.0,212807,295512,429684,367114,253814,612583,114722,171924,10624.0,224515,21315.0,26126.0,86573,52164,34337.0,62166,39668.0,867743.0,137688.0,90914,14082.0,230877,134483,1075628,185698.0,22733,125542,52113,358443,11727,33916,0,3927.0,0,6952,19506.0,0.0,0.0,53567,12419.0,51402,15287.0,33000,13965,5929.0,9996,27192.0,20620.0,4291.0,4665,59449.0,6509,2809.0,1661.0,0.0,19895,3396,5787,0.0,557470,18697.0,652,0.0,387.0,453.333333333333
DK,0,0.0,742.0,342.0,13530,1624,526,0,1084.0,14924,6051,2613.0,30,121,178.0,2916,1418,232.666666666667,55,1032,7141,190.0,4527.0,0.0,0.0,0,4026,0.0,1062,1610,4084.0,0.0,1767,29542.0,744,12173,1540,0.0,796,221,0,7173.0,378,3217.0,0.0,1100.0,0,1046,1473.0,10238,938.0,1440.0,0,1157,11503,2375,7942,1206,492.0,1731.4,1176.0,7271,3513.0,4885,0.0,2230.0,1504,455,1529.0,25206,15622,2829.0,1075,10287,521.142857142857,1378.0,2256.14285714286,1161.0,445,644.0,9332,1034,193.0,200,0.0,4208.0,1035,9824,1493,8590,810.0,1973.0,2391,1959,3446,2254,1521,85,1478,23583,4403,9726,1829,4985,46559,50430.0,25966,25949,17206,6428,713,6225,4071,22209,43760,12208.0,29150,33082,7894,118041,10866,7408,2231,25589,12697,59975,491.0,7898,0.0,25898.0,30018,5194.0,14000.0,2391,27692,20117,124.0,71665,14373,19192,18650,5199.0,8284,1075,326.0,3054,8780.5,3497,53449.0,6880,1019,1081,41696.0,17678,12415,20721,15262,19314,42739,4158,11776,274.0,11314,2193.0,2453.0,7503,3521,1355.0,5316,1262.0,39229.0,2642.0,4875,943.0,3977,5453,45917,5515.0,7054,5680,2771,7762,1002,3484,699,0.0,0,3689,2707.0,76.0,167.0,1391,869.0,6544,3870.0,1681,2518,194.0,425,561.0,57.0,0.0,22,7150.0,1057,452.0,1455.5,0.0,6622,4,144,0.0,0,5092.0,0,0.0,58.5,5.71428571428571
EE,0,0.0,719.666666666667,871.0,2937,836,74,2097,115.0,3007,2551,1566.0,227,59,180.5,4028,5394,449.0,635,5234,12106,473.333333333333,924.333333333333,2980.0,7.33333333333333,0,1006,0.0,705,394,157.5,0.0,0,345.0,693,3321,1195,0.0,0,133,0,2322.0,484,26.0,0.0,287.0,14,125,130.666666666667,6960,315.5,0.0,0,371,3028,375,2464,2369,114.0,2527.0,117.5,448,438.0,3723,17.0,818.0,427,36,889.0,136,2061,626.0,160,961,72.0,827.333333333333,2268.0,766.0,0,0.0,8033,185,0.0,296,36.0,1016.0,708,3696,427,3184,236.0,1510.0,1292,112,1177,380,403,37,325,15939,3776,3518,948,1610,9444,4784.0,5896,4067,4940,2956,181,846,664,6030,6061,1161.5,4525,8320,2883,21941,1285,2009,928,6274,2272,12173,1059.0,2844,1256.0,3864.33333333333,16073,766.0,138.0,2036,10954,6280,14.0,14725,1805,1068,2751,172.333333333333,1342,125,157.666666666667,165,2179.0,860,10690.0,1867,567,964,6705.0,3861,1749,5647,1082,4040,5222,1166,943,86.5,2895,808.0,414.0,1381,369,336.333333333333,1735,314.0,6973.0,2412.0,1134,450.0,6032,408,9068,1003.0,600,1417,261,1735,338,563,2673,0.0,0,1583,220.666666666667,22.0,452.0,918,4.33333333333333,949,963.0,820,575,0.0,0,19.0,0.0,0.0,0,0.0,0,78.0,0.0,1505.0,441,0,0,0.0,0,2903.0,0,0.0,38.3333333333333,0.0
EL,0,358.333333333333,2376.0,618.0,9422,13639,5970,10569,3102.0,48934,11176,8797.0,1138,266,949.0,5387,12063,1210.0,1697,1089,5793,774.0,6533.0,9132.0,473.0,12,1951,618.0,1880,4499,1406.0,21.0,863,8130.0,525,10509,1281,201.0,503,898,1725,5232.0,4547,1471.0,2225.0,524.0,365,1931,760.0,17284,689.0,106.0,580,528,2595,2410,5039,909,221.0,486.0,59.0,956,20.0,1450,634.0,1155.0,1359,1570,248.0,864,4170,1367.0,1449,2268,415.0,586.0,812.0,1730.0,1415,249.0,11144,3913,155.0,411,211.0,3784.0,1279,13233,1698,29283,705.0,689.0,8292,942,2914,1882,1875,171,594,40266,9876,5564,8143,11953,33968,20834.0,13862,11159,30853,16881,5134,19076,7096,59299,60399,8110.0,21343,40370,2301,118780,56751,16794,10795,50090,20134,131511,12964.0,8593,34.0,62389.5,35720,8360.0,7553.0,2641,40837,91370,871.0,194321,11260,147869,9747,1188.0,7183,574,2196.0,5181,10725.0,3522,22700.0,4804,2954,3170,6185.0,6322,54574,40352,742,31133,77129,4176,9565,2409.0,11838,2929.0,4568.0,4069,2665,3885.0,4060,540.0,12735.0,2273.0,15500,605.0,23705,904,33095,1962.0,4063,1944,3209,7046,1882,9429,76,0.0,4,1382,1785.0,2637.0,531.0,39151,3306.0,1078,2092.0,4648,965,263.0,1845,132.0,11.0,0.0,0,3518.0,148,120.0,282.0,3393.0,0,235,0,7428.0,7808,8551.0,243,1318.0,55.0,12.0
