geo,B051,B052,B081,B089,C101,C103,C104,C105,C106,C107,C108,C110,C131,C132,C133,C139,C141,C151,C152,C161,C162,C171,C172,C181,C182,C191,C201,C202,C203,C204,C205,C206,C211,C212,C221,C222,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C243,C244,C245,C251,C252,C253,C254,C255,C256,C257,C259,C261,C262,C263,C264,C265,C266,C271,C272,C273,C274,C275,C279,C281,C282,C283,C284,C289,C291,C292,C293,C301,C303,C309,C310,C321,C322,C323,C324,C325,C329,C331,C332,D351,D352,D353,E360,E370,E381,E382,E383,E390,F411,F412,F421,F422,F429,F431,F432,F433,F439,G451,G452,G453,G454,G461,G462,G463,G464,G465,G466,G467,G469,G471,G472,G473,G474,G475,G476,G477,G478,G479,H492,H493,H494,H501,H502,H521,H522,I551,I559,I561,I562,I563,J581,J582,J591,J592,J601,J602,J611,J619,J620,J631,J639,L681,L682,L683,M691,M692,M701,M702,M711,M712,M721,M722,M731,M732,M742,M749,M750,N772,N773,N781,N782,N783,N791,N799,N801,N811,N812,N813,N821,N822,N823,N829,S951,S952,B061,B062,B071,C102,C109,C142,C143,I552,I553,M741,M743,N771,N802,N803,C120,C267,C302,C304,H504,H511,H512,N774,B091,C192,H491,H495,H503,H531,H532,J612,J613,B072,B099,C268
AT,0,0,4094.0,662.0,17877,3986,825,5216,2310,31014.0,8191,8891,959,2140.0,950.0,4849,5987.0,2816.0,1387.0,10778,22768,7194,9509,11308,1179.0,0,6542,365,2758.0,2854,2604,2511,3986,9131,2020,26876,9507,1501.0,980.0,1215,1195,11003.0,3487,3012,14545.0,3565.0,2702.0,7513.0,6322.0,23778,3347.0,304.0,1267.0,6492.0,13627,17448.0,7642.0,8307,910.0,1973.0,796.0,5579,2409.0,24265.0,651.0,3438,4852.0,4246,7808.0,14072.0,24926,6335.0,6406.0,27231,12478.0,4007.0,13818.0,199.0,954.0,2118.0,28463,1755,870,3123.0,1797,8753.0,1694,13305,10863,25448,1820.0,2134.0,1788,3326.0,9989,2484,2324.0,91.0,3494.0,55100,22872,10429,1467,9577.0,82687.0,60905.0,36634,38075.0,27627.0,12533.0,2045,16633,16680,28168.0,43710.0,8850.0,36840,48297.0,4341,106933.0,23715.0,11122.0,11438.0,57749.0,21932,118722,2104.0,7911.0,8325.0,55459.0,57905.0,0.0,0.0,1647.0,47831.0,100989,1268,149190.0,11173.0,13019.0,10441.0,2442.0,6736,1168,517.0,4309.0,2347.0,909,45989.0,16111,1568,2384,32040.0,20228.0,25304,35683.0,26002,29000.0,58065,5307,9859.0,672,26795,2300,3517.0,4912,4903.0,3438,4456.0,1736.0,65155.0,13259.0,10385.0,1395.0,12999,11907.0,61501,6753.0,2099,4983,2477,7716,997,3023.0,0,0,0.0,134.0,2092,103.0,1131.0,7686,1015,2460,1553,2609.0,111,650.0,0,1031,0.0,0.0,71.0,6617.0,15,534,88.0,1124,3174,458.0,434.0,0.0,0,13602.0,21,0.0,35.0,0.0
BE,0,0,2489.0,179.0,14510,8733,1568,7339,2165,29370.0,17407,10214,804,3000.0,979.0,13865,3609.0,989.0,263.0,1751,9924,3054,8657,17023,150.0,0,28034,1257,3558.0,4716,6364,1057,529,22334,2364,20548,7400,552.0,1766.0,454,3078,12006.0,2800,1023,13387.0,636.0,2757.0,7813.0,2480.0,24261,2668.33333333333,2458.5,1938.5,2046.0,16852,2676.0,5311.5,2454,1148.5,1554.0,0.0,2491,641.5,4012.0,1036.0,2908,3374.0,1463,2612.0,7134.0,10810,5102.0,1288.0,10091,20129.0,4765.0,12079.0,128.0,5371.0,396.5,12898,1440,160,54.0,761,4871.0,1196,10316,7323,18716,1430.0,35.0,7551,2364.0,4407,7563,4037.0,1370.0,8192.0,79084,16507,9989,3772,12041.0,77320.0,64417.0,42794,42795.0,20536.0,12437.0,1952,14690,6601,35963.0,61136.0,13514.0,41172,48334.0,5511,99642.0,31089.0,4994.0,9507.0,43624.0,15197,102939,5055.0,4661.0,1105.0,18254.0,60622.5,206.375,1302.0,15954.0,74223.0,17411,34,104362.0,19679.0,27565.0,11253.0,387.0,6834,665,362.0,1612.0,18622.0,4668,70973.0,3941,2897,6337,32830.0,24448.0,25527,32218.0,28207,77654.0,49734,9569,9820.0,335,15874,6005,3696.0,2152,4974.0,3563,7910.0,19446.0,128365.0,14355.0,8034.0,739.0,15105,1258.5,99208,18776.5,8858,5305,4235,11396,1153,4165.0,0,0,0.0,1174.0,3363,38.0,184.0,4043,791,4987,3218,3843.0,1856,102.0,1444,233,766.0,0.0,568.5,4333.0,1199,101,10.0,4453,35537,83.5,184.0,0.0,0,3752.0,64,0.0,28.6666666666667,8.0
BG,131,12403,3945.0,393.428571428571,16187,6976,2331,9055,3568,29060.0,9798,14069,4033,1871.0,476.0,5629,94705.0,2619.0,13326.0,6703,10326,1634,7401,9044,62.0,0,3980,295,1641.0,4977,1954,514,12,8197,3856,21443,4344,434.0,2376.0,1639,1550,6163.0,1833,2585,1537.0,887.0,309.0,4626.0,3760.0,11174,1966.0,134.0,10811.0,559.0,13198,2849.0,11596.0,3111,341.5,1093.0,387.0,1957,287.0,8131.0,1318.0,3487,1101.0,4021,2894.0,10261.0,11445,1151.0,2213.0,5675,0.0,255.4,12329.0,667.0,23.0,1743.0,21347,896,171,1586.0,1890,2225.0,2203,15685,1515,28553,751.0,3505.0,17286,283.0,10842,2570,2389.0,727.0,1249.0,58015,20327,9140,10610,3720.0,17164.0,13298.0,11981,9103.0,18221.0,18177.0,344,4664,8152,43265.0,29045.0,4674.0,12104,40755.0,13598,107891.0,25870.0,14900.0,7981.0,30293.0,10789,86042,5068.0,6134.0,4129.0,32507.0,55740.0,80.0,569.0,1043.0,31134.0,38213,985,57385.0,6256.0,33611.0,5506.0,1328.0,3449,490,570.0,2811.0,5754.0,1672,34678.0,4486,2773,3527,22349.0,9192.0,3312,24299.0,866,10881.0,18291,3353,2023.0,150,9509,2862,1381.0,12090,1226.0,164,1443.0,1100.0,2720.0,4979.0,5384.0,562.0,50274,1435.0,9031,1892.0,1763,3901,707,6116,1596,4238.0,0,60,0.0,1570.0,1728,109.0,9992.0,1070,66,1147,1962,1852.0,8221,283.0,3217,1346,2156.0,0.0,702.0,1662.0,359,136,38.0,2208,8846,0.0,0.0,0.0,0,11723.0,0,6765.0,200.0,52.0
CH,0,0,3946.0,349.0,15489,1330,458,11871,1763,23354.0,20513,7253,715,1738.0,1031.0,3997,4250.0,1263.0,636.0,1764,35076,1578,8009,20523,52.0,0,7573,1304,5236.0,5830,10005,505,9113,33996,2136,22431,4312,629.0,604.0,1382,1330,6242.0,2129,2148,1483.0,2323.0,1406.0,4095.0,4186.0,15845,1982.0,0.0,3595.0,3648.0,38241,14042.0,9115.0,27505,880.0,3451.0,575.0,68518,9777.0,14140.0,491.0,5511,2171.0,4652,9196.0,15386.0,26602,1337.0,14483.0,24731,1773.0,1243.0,2236.0,537.0,5931.0,847.0,12234,2859,354,386.0,317,13347.0,4349,13774,2098,27724,970.0,46.0,1226,2645.0,2216,2424,4799.0,231.0,1226.0,86284,15632,2817,1713,4887.0,105031.0,54325.0,45103,3597.0,62214.0,7185.0,2278,3537,9370,28338.0,58097.0,14296.0,32587,55148.0,5369,123753.0,17503.0,9188.0,11674.0,26420.0,21998,92190,152.0,7153.0,5238.0,34697.0,36058.0,430.0,716.0,3714.0,33085.0,61458,0,117818.0,20439.0,6320.0,15631.0,442.0,6792,816,944.0,7703.0,18286.0,865,72432.0,5712,1526,4275,6213.0,25006.0,18611,46259.0,21947,34679.0,93856,3468,13759.0,1025,16514,3843,1053.0,4173,4242.0,1283,2967.0,5137.0,82316.0,3310.0,10563.0,5393.0,18733,12111.0,57664,20829.0,2669,3432,4489,5041,1195,1505.0,28,0,0.0,315.0,2652,0.0,330.0,3723,1430,6320,1101,1348.0,659,80.0,2503,3745,4127.0,0.0,614.0,11485.0,1136,231,61.0,914,33896,1320.0,1617.0,36324.0,9198,3490.0,297,0.0,0.0,0.0
CY,0,0,0.0,0.0,1278,729,0,1458,268,5539.0,564,1352,0,0.0,41.0,385,375.0,17.0,44.0,13,1923,0,548,0,0.0,0,0,80,207.0,263,0,0,0,1240,16,863,215,14.6666666666667,136.0,43,239,965.0,520,44,0.0,48.0,0.0,267.0,0.0,2542,39.0,0.0,21.0,0.0,239,99.0,494.0,0,0.0,0.0,0.0,0,0.0,190.0,0.0,0,90.0,163,0.0,0.0,366,55.0,0.0,80,0.0,56.0,88.0,26.0,0.0,0.0,1006,379,7,0.0,14,185.0,144,920,64,2312,0.0,0.0,361,430.0,386,101,392.5,0.0,1316.0,8253,807,404,384,1101.0,4983.0,1617.0,2444,1682.0,3873.0,1201.0,137,1299,323,5898.0,5151.0,886.0,1530,3449.0,964,12184.0,1821.0,1195.0,1430.0,4699.0,1409,9823,39.0,772.0,0.0,3110.0,1912.0,1939.2,61.0,141.0,8526.0,16304,0,13050.0,1069.0,4288.0,802.0,296.0,301,15,174.0,621.0,2798.0,1049,2283.0,265,214,68,243.0,1098.0,3726,7341.0,854,3398.0,2076,337,0.0,0,1076,344,318.0,330,182.0,114,210.0,258.0,676.0,1087.0,1475.0,90.0,1018,49.0,1804,282.0,414,27,219,344,93,319.0,0,0,0.0,0.0,311,0.0,21.0,457,17,245,129,618.0,0,11.0,0,0,0.0,0.0,0.0,1009.0,0,19,0.0,38,0,0.0,0.0,676.0,668,120.0,68,0.0,0.0,0.0
CZ,0,0,5425.0,511.0,23773,2918,880,9048,2927,35371.0,17533,14709,2026,6004.0,998.0,16651,22451.0,3735.0,2364.0,8261,47147,3526,15763,21344,2554.0,0,14945,912,2676.0,4435,4910,998,1468,8397,19783,60992,22935,3067.0,3364.0,5656,1907,13388.0,2616,3168,18314.0,4663.0,2571.0,3719.0,15338.0,30229,10162.0,2577.0,3726.0,9201.0,45825,45942.0,30245.0,8397,6066.0,5435.0,4405.0,14649,434.0,49875.0,1272.0,13960,10535.0,6383,14698.0,30182.0,43756,7743.0,11948.0,29958,33740.0,3462.0,105354.0,343.0,7487.0,2728.0,26299,4472,1137,2903.0,6130,14946.0,9178,36929,13556,19129,2170.0,12196.0,18332,1322.0,24209,3200,5777.0,678.0,1752.0,103229,30247,26944,3252,45620.0,65055.0,61243.0,39034,22409.0,45182.0,14560.0,946,51360,6830,33016.0,51553.0,11821.0,24148,62097.0,31746,159891.0,16079.0,12343.0,6305.0,40218.0,16758,79520,3524.0,16376.0,11137.0,37524.0,113938.0,2.0,0.0,11101.0,27852.0,27667,3059,110006.0,13051.0,5159.0,12829.0,3676.0,3140,1224,213.0,1240.0,4293.0,426,64145.0,10992,932,743,34460.0,26079.0,24012,46554.0,7833,19326.0,60351,12868,7878.0,53,24572,3607,2861.0,26334,3416.0,2158,4448.0,5900.0,53866.0,7284.0,10803.0,1082.0,44890,4513.0,34631,4201.0,6227,7172,2075,12661,7133,6776.0,0,0,0.0,700.0,5205,222.0,2231.0,2104,303,2191,6424,1749.0,2696,373.0,0,3054,10486.0,0.0,323.0,2446.0,22,139,594.5,0,0,0.0,320.0,38345.0,2703,13233.0,239,0.0,1700.0,159.0
DE,0,0,26183.0,5149.0,184906,32987,5292,42426,15041,385588.0,105543,70354,4063,10945.0,12916.0,52114,37017.0,7725.0,9359.0,25791,109560,39848,103186,153760,5295.0,0,183339,3920,42246.0,46633,53639,7826,6277,119633,75561,337477,59383,6962.0,15366.0,21333,12003,71554.0,28745,26771,77678.0,28465.0,20405.0,56832.0,77507.0,185451,23652.0,5328.0,12141.0,115883.0,261565,140170.0,132776.0,74333,21323.0,24461.0,13405.0,150002,10182.0,277168.0,8204.0,79737,37290.0,49271,54763.0,350960.0,303307,40729.0,113569.0,279166,503513.0,41142.0,270472.0,19062.0,74854.0,10395.0,144089,14251,7026,6928.0,13461,183170.0,29804,140727,92967,191892,15101.0,12943.0,36010,42960.0,63191,36920,24353.0,3117.0,22214.0,268395,101257,67620,30619,39686.0,679627.0,464892.0,296772,381460.0,262357.0,134744.0,17621,96736,62049,245292.0,485615.0,118580.0,267475,454713.0,104944,1066392.0,231150.0,78318.0,107623.0,383170.0,143568,1056977,21426.0,174534.0,28163.0,385296.0,409922.0,2639.0,18709.0,62906.0,562749.0,447722,6764,968109.0,214811.0,208735.0,190200.0,16420.0,56716,6913,11790.0,28732.0,56965.0,26479,606524.0,55082,35415,15739,336638.0,159590.0,256285,370537.0,215604,200636.0,508591,88998,136616.0,6986,231395,21722,21616.0,71000,42286.0,32070,49438.0,22146.0,778184.0,135407.0,87102.0,10509.0,168412,96251.0,931925,151945.0,22490,119030,42244,285103,9463,28323.0,0,3764,0.0,7836.0,17521,0.0,0.0,43169,9044,40226,12175,26294.0,12120,2507.0,10508,26861,21034.0,4291.0,4162.0,51805.0,5964,2211,1661.0,0,19895,3290.0,3967.0,0.0,502904,21313.0,610,0.0,387.0,535.0
DK,0,0,828.0,468.0,18065,2080,769,0,1194,10889.0,6737,4473,33,145.0,244.0,3394,1429.4,116.0,56.0,816,8638,350,5720,0,0.0,0,5124,0,764.0,1618,5995,0,1637,25608,826,16161,2034,0.0,694.0,211,0,7523.0,426,3889,0.0,1316.0,0.0,1152.0,1605.0,11838,1274.0,1440.0,0.0,1018.0,11580,2893.0,9433.0,2086,793.0,2047.6,1766.0,8743,4779.0,6076.0,0.0,2913,1831.0,556,1747.0,31406.0,17709,3701.0,1109.0,12455,428.571428571429,1450.0,2514.57142857143,1282.0,473.0,590.0,10599,861,181,200.0,0,4642.0,960,9937,1428,9190,571.0,1504.0,2504,1926.0,2217,2036,1636.0,82.0,1172.0,26548,4679,11124,1653,4033.0,50720.0,43671.0,21278,28697.0,15323.0,7901.0,558,6495,4663,23450.0,49493.0,17198.0,36067,40924.0,8944,74211.0,7254.0,6319.0,3606.0,21568.0,10931,48919,247.0,3984.0,0.0,23251.0,32795.0,5362.0,15688.0,2530.0,28055.0,15236,29,33623.0,11535.0,8300.0,16817.0,4642.0,5904,745,298.0,2197.0,12199.0,3295,57255.0,5891,761,785,20479.0,14548.0,12068,20230.0,17140,15212.0,46447,4726,14871.0,372,10924,1485,1970.0,6421,2705.0,1460,5109.0,1166.0,23241.0,1840.0,5331.0,973.0,2811,4256.0,33144,4600.0,6025,3099,1561,6049,983,3024.0,971,0,0.0,4146.0,3743,42.0,175.0,880,857,5021,1625,1532.0,2712,188.0,701,608,57.0,0.0,40.0,7150.0,1057,333,2044.0,0,6622,4.0,159.0,0.0,0,5092.0,0,0.0,137.0,14.2857142857143
EE,0,0,720.333333333333,1076.0,2676,660,74,2091,115,2856.0,2335,1486,174,59.0,229.0,3595,5859.0,463.0,790.0,4746,10852,515,897,2857,29.3333333333333,0,1452,0,689.0,181,183,0,0,319,723,3112,1143,0.0,0.0,104,0,2103.0,448,29,0.0,208.0,16.0,124.2,178.0,6332,390.0,0.0,0.0,417.0,2367,291.0,2398.0,2647,122.5,2414.5,85.0,560,267.75,3506.0,17.0,623,332.0,36,886.0,123.6,1893,652.0,138.8,984,72.0,660.0,2781.66666666667,728.5,0.0,0.0,7520,185,0,357.0,22,979.25,675,4071,419,3285,315.0,1618.0,1208,179.0,1132,287,425.0,25.5,273.0,14817,4524,4198,935,1685.0,8627.0,3840.0,5258,3956.0,4164.0,3031.0,171,1645,634,5802.0,5554.0,1045.0,4251,8492.0,2604,20588.0,1162.0,2033.0,802.0,5806.0,2132,10746,1191.66666666667,2076.0,1256.0,4741.0,15062.0,720.0,138.0,1884.0,10488.0,5231,14,12060.0,1655.0,1000.0,3035.0,122.0,1396,159,159.0,150.5,2179.0,464,8577.0,1411,575,656,6561.0,3250.0,1563,4676.0,1111,4028.0,5377,1230,1143.0,83,2786,794,333.0,1045,313.0,249,1785.0,245.333333333333,6331.0,2480.66666666667,1370.0,396.0,6121,557.666666666667,8365,863.0,471,1486,267,2025,317,586.0,3075,0,0.0,1899.0,201,22.5,442.5,842,3,695,956,698.0,575,0.0,0,27,0.0,0.0,0.0,0.0,0,66,0.0,1644,441,0.0,0.0,0.0,0,1485.0,0,0.0,23.0,0.0
EL,0,337,3266.0,458.0,7329,10680,4554,10040,3081,30025.0,8906,8939,1129,497.0,1066.0,5075,12958.0,811.0,1622.0,805,6039,896,5942,8698,486.0,35,2631,552,2468.0,4668,1307,8,1024,9055,1052,12549,1271,229.0,829.0,824,2433,5642.0,3851,813,2922.0,1699.0,2751.0,5914.0,2741.0,14885,681.0,52.0,949.0,430.0,2223,2174.0,5228.0,606,219.0,511.0,77.0,1125,82.0,1563.0,465.0,1132,1095.0,1919,473.0,923.0,5015,1707.0,1891.0,2480,447.0,756.0,901.0,1663.0,1664.0,240.0,8030,4690,200,372.0,304,1219.0,1533,8688,1262,19820,614.0,617.0,8864,1139.0,336,426,487.0,185.0,3811.0,67778,20420,7278,4560,11884.0,36519.0,28122.0,13261,19930.0,27077.0,16382.0,4442,28981,8904,61512.0,78271.0,7919.0,28927,52633.0,8094,101281.0,58802.0,16694.0,8265.0,67927.0,21938,113684,12338.0,14226.0,34.0,67444.0,34812.0,9374.0,3853.0,3380.0,32263.0,59450,66,111446.0,6721.0,85103.0,16324.0,3869.0,4842,314,3345.0,2621.0,10894.0,2092,16361.0,3077,374,1197,1646.0,5736.0,16454,44898.0,315,32154.0,53354,4672,9358.0,3714,12875,2992,4521.0,12185,1772.0,5034,3574.0,2351.0,3720.5,683.0,11532.0,71.0,39135,0.0,31037,1532.0,5654,3296,2506,3308,1313,8604.0,76,0,0.0,1881.0,1546,2799.0,603.0,13616,1036,2392,1802,3125.0,1297,1174.0,1748,107,9.0,0.0,0.0,2260.0,112,25,256.0,3910,0,277.0,0.0,8409.0,3604,5585.0,383,1630.0,62.25,9.0
